ItemName,Price,BasePrice,Difference,ProfitMargin,AverageVolume,AverageDailyProfitPotential,PercentSoldInventory
Inferno Heavy Missile,40,31.44,8.559999, 21.4,37997, 325254.3, 25.956020321133236919197537730
Scourge Heavy Missile,50.33,40,10.33, 20.52454,109024, 1126218, 5.4729050816778824798150994200
Scourge Light Missile,9,7.1,1.9, 21.11111,126455, 240264.5, 17.887445811171995474146020840
Inferno Light Missile,7,7.7,-0.6999998, -9.999997,102416, -71691.18, 14.573635191952792899055394130
Mjolnir Light Missile,13.99,22.68,-8.690001, -62.1158,83941, -729447.3, 41.527000301679348372607515170
Nova Light Missile,9,9,0, 0,115531, 0, 15.386011392237382434759570800
Iron Charge S,1.89,3.1,-1.21, -64.02116,31279, -37847.59, 21.173145523748450205721069840
Tungsten Charge S,3.4,4.2,-0.7999997, -23.5294,11520, -9215.997, 13.372856413997242379649267800
Iridium Charge S,6,7.95,-1.95, -32.5,13210, -25759.5, 88.04028001780460029250414766
Lead Charge S,3.4,4.49,-1.09, -32.05881,9820, -10703.8, 4.0616485477702039565448338400
Thorium Charge S,10,18.42,-8.42, -84.2,18280, -153917.6, 0
Uranium Charge S,9,5.45,3.55, 39.44445,7990, 28364.5, 15.832981267690165310685086500
Plutonium Charge S,7.21,11.54,-4.33, -60.05548,11415, -49426.95, 47.814496220700888198915837430
Antimatter Charge S,15.51,16,-0.4899998, -3.15925,157002, -76930.95, 31.192176053959340496949481730
Iron Charge M,9.99,16.43,-6.440001, -64.46447,21637, -139342.3, 53.408846719076071515618262240
Tungsten Charge M,34.98,26,8.98, 25.67181,9794, 87950.12, 21.291100334506472189635031770
Iridium Charge M,20,57.44,-37.44, -187.2,17249, -645802.6, 0
Lead Charge M,34,24.99,9.01, 26.5,9649, 86937.49, 29.905882352941176470588235290
Thorium Charge M,49.99,48.5,1.490002, 2.980599,27408, 40837.96, 18.030625151376517129093893810
Uranium Charge M,39,41.44,-2.439999, -6.256407,7459, -18199.95, 18.811583792537424482781109600
Plutonium Charge M,20,27.89,-7.889999, -39.45,5994, -47292.66, 1.2435918637340830163717545900
Antimatter Charge M,43,46.5,-3.5, -8.139535,75491, -264218.5, 11.020073465066474151528641250
Iron Charge L,19,14.42,4.58, 24.10526,7916, 36255.28, 3.2733431413062447610685566500
Tungsten Charge L,15.03,69.44,-54.41, -362.0093,6115, -332717.2, 2.470294624781340500013552200
Iridium Charge L,22,38.44,-16.44, -74.72726,4157, -68341.08, 20.487691284098469727212242180
Lead Charge L,21.99,28.44,-6.450001, -29.33152,6920, -44634, 9.141234926810267226248073170
Thorium Charge L,60,57.44,2.560001, 4.266669,4613, 11809.29, 31.749354005167958656330749350
Uranium Charge L,113.96,75,38.96, 34.18744,3856, 150229.8, 1.0444925994217688969601087400
Plutonium Charge L,100,69,31, 31,3892, 120652, 9.959658714737278995388541580
Antimatter Charge L,133.99,141.44,-7.449997, -5.560114,48651, -362449.8, 20.460994963373243807775801400
Radio S,400,1654.92,-1254.92, -313.73,19, -23843.48, 12.941176470588235294117647060
Microwave S,1021.08,1200,-178.92, -17.52262,23, -4115.16, 12.948517940717628705148205930
Infrared S,499.94,238.97,260.97, 52.20026,33, 8612.01, 6.1179087875417130144605116800
Standard S,1000,950,50, 5,18, 900, 4.938271604938271604938271600
Ultraviolet S,699.98,1500,-800.02, -114.2918,21, -16800.42, 13.071895424836601307189542480
Xray S,1599.94,1050,549.9399, 34.37254,12, 6599.279, 1.3445378151260504201680672300
Gamma S,2487.27,1521.9,965.37, 38.81243,28, 27030.36, 67.884322678843226788432267880
Multifrequency S,5000,2000,3000, 60,77, 231000, 59.96015936254980079681274900
Radio M,11500,39998.87,-28498.87, -247.8163,8, -227991, 20.555555555555555555555555560
Microwave M,2499.99,3399.83,-899.8401, -35.99375,8, -7198.721, 11.172161172161172161172161170
Infrared M,6000,4000,2000, 33.33333,9, 18000, 52.459016393442622950819672130
Standard M,4500,2899.99,1600.01, 35.55578,7, 11200.07, 42.675159235668789808917197450
Ultraviolet M,3500,5999.87,-2499.87, -71.42486,14, -34998.18, 23.798076923076923076923076920
Xray M,9500,6666,2834, 29.83158,7, 19838, 91.86691312384473197781885397
Gamma M,10000,5999.99,4000.01, 40.0001,9, 36000.09, 8.333333333333333333333333330
Multifrequency M,7000,5000.02,1999.98, 28.57114,36, 71999.28, 70.646766169154228855721393030
Radio L,110000,19999.94,90000.06, 81.81824,39, 3510002, 16.793893129770992366412213740
Microwave L,49999.99,10000,39999.99, 79.99999,6, 239999.9, 29.441624365482233502538071070
Infrared L,40000,8000,32000, 80,4, 128000, 45.098039215686274509803921570
Standard L,168999.9,12999.93,156000, 92.30772,5, 780000, 26.911314984709480122324159020
Ultraviolet L,110000,10000,100000, 90.90909,5, 500000, 41.666666666666666666666666670
Xray L,190000,17777,172223, 90.64368,4, 688891.9, 0
Gamma L,52420.67,22222,30198.67, 57.60833,6, 181192, 95.00
Multifrequency L,149989.9,47896.96,102092.9, 68.06654,29, 2960695, 27.345844504021447721179624660
Cap Booster 25,340.99,167.69,173.3, 50.8226,2019, 349892.7, 12.658275479294839231623111510
Cap Booster 50,350,525,-175, -50,1451, -253925, 43.412305516265912305516265910
Scourge Rocket,3,4.84,-1.84, -61.33334,26772, -49260.48, 12.237411816485779203758758780
Scourge Torpedo,126.7,179.99,-53.29001, -42.05999,10937, -582832.8, 26.159594979658794250349176480
Mjolnir Auto-Targeting Light Missile I,14,15.44,-1.44, -10.28571,9409, -13548.96, 14.806264148859808955883164930
Small Shield Extender I,19998.92,11999.96,7998.96, 39.99696,64, 511933.4, 24.598930481283422459893048130
Small Shield Extender II,498888.8,387992.9,110895.9, 22.22858,32, 3548669, 13.259195893926432848588537210
Shield Recharger I,125000,9970,115030, 92.024,5, 575150, 40.394088669950738916256157640
Shield Recharger II,600000,199000,401000, 66.83334,14, 5614000, 11.793020457280385078219013240
Small Shield Booster I,23000,9769.08,13230.92, 57.52574,21, 277849.3, 14.177215189873417721518987340
Small Shield Booster II,353736.7,300000,53736.66, 15.19115,10, 537366.6, 23.868312757201646090534979420
'Micro' Remote Shield Booster,6800900,3948408,2852492, 41.94286,0, 0, 0
'Basic' Capacitor Recharger,1.6E+07,6000000,1E+07, 62.5,1, 10000000, 0
5MN Microwarpdrive I,39999.99,27009.17,12990.82, 32.47705,38, 493651.1, 26.065688329839273235499650590
1MN Afterburner II,3000000,2779999,220001, 7.333367,24, 5280024, 14.503816793893129770992366410
1MN Afterburner I,11218.94,4699.98,6518.96, 58.10674,82, 534554.8, 28.969957081545064377682403430
5MN Microwarpdrive II,3900900,4119994,-219094, -5.616499,15, -3286410, 30.683918669131238447319778190
Cargo Scanner I,82253.69,5500,76753.69, 93.31337,11, 844290.6, 32.456140350877192982456140350
Ship Scanner I,139100,5887.98,133212, 95.76708,5, 666060.1, 34.630350194552529182879377430
Survey Scanner I,12000,6000,6000, 50,22, 132000, 19.458631256384065372829417770
Warp Scrambler I,50000,39999.49,10000.51, 20.00102,20, 200010.2, 13.995485327313769751693002260
Warp Scrambler II,1500000,1548968,-48968, -3.264533,55, -2693240, 16.596343178621659634317862170
Gatling Pulse Laser I,17500,5900,11600, 66.28571,5, 58000, 4.4354838709677419354838709700
Dual Light Pulse Laser I,17500,38000,-20500, -117.1429,5, -102500, 72.027972027972027972027972030
Dual Light Beam Laser I,24700,9999.88,14700.12, 59.51466,5, 73500.6, 77.611940298507462686567164180
Small Focused Pulse Laser I,21999,22500,-501, -2.277376,7, -3507, 15.696649029982363315696649030
Small Focused Beam Laser I,36000,18398,17602, 48.89444,11, 193622, 67.362924281984334203655352480
Quad Light Beam Laser I,89999.98,33333,56666.98, 62.96333,3, 170000.9, 13.669064748201438848920863310
Focused Medium Pulse Laser I,120000,102000,18000, 15,5, 90000, 27.272727272727272727272727270
Focused Medium Beam Laser I,350000,200000,150000, 42.85714,4, 600000, 25.177304964539007092198581560
Heavy Pulse Laser I,150000,199999,-49999, -33.33267,4, -199996, 24.770642201834862385321100920
Heavy Beam Laser I,587997,269998,317999, 54.08174,3, 953997, 6.4102564102564102564102564100
Dual Heavy Pulse Laser I,1111111,296800,814311, 73.28799,4, 3257244, 52.941176470588235294117647060
Dual Heavy Beam Laser I,1199999,499990,700009, 58.33413,4, 2800036, 5.00
Mega Pulse Laser I,0,850000,-850000, -Infinity,5, -4250000, 0
Mega Beam Laser I,1495000,551024,943976, 63.14221,6, 5663856, 0
Tachyon Beam Laser I,1100000,1529024,-429024, -39.00218,4, -1716096, 13.986013986013986013986013990
Miner II,897949,639998,257951, 28.72669,36, 9286236, 34.119106699751861042183622830
Miner I,10496.99,8999.99,1497, 14.26123,58, 86826, 24.987751102400783929446349830
125mm Gatling AutoCannon I,4000,4001.99,-1.98999, -0.04974975,116, -230.8389, 13.917216556688662267546490700
150mm Light AutoCannon I,7396.22,23950,-16553.78, -223.814,30, -496613.4, 18.327526132404181184668989550
200mm AutoCannon I,18599,19500,-901, -4.844347,109, -98209, 20.138288677614520311149524630
250mm Light Artillery Cannon I,17699.94,15774.91,1925.029, 10.87591,30, 57750.88, 36.501479289940828402366863910
280mm Howitzer Artillery I,34000,34709.95,-709.9492, -2.088086,98, -69575.02, 33.753258036490008688097306690
Dual 180mm AutoCannon I,59000,30500.91,28499.09, 48.30354,6, 170994.5, 31.034482758620689655172413790
220mm Vulcan AutoCannon I,99915.6,87999.99,11915.61, 11.92567,12, 142987.3, 34.191176470588235294117647060
425mm AutoCannon I,150000.7,519996.9,-369996.3, -246.6631,9, -3329966, 15.795868772782503037667071690
650mm Artillery Cannon I,245218,140000,105218, 42.90794,5, 526089.9, 8.626198083067092651757188500
720mm Howitzer Artillery I,273000,357896.3,-84896.28, -31.09754,8, -679170.2, 28.333333333333333333333333330
Dual 425mm AutoCannon I,240000,698000,-458000, -190.8333,3, -1374000, 0.6968641114982578397212543600
Dual 650mm Repeating Cannon I,419999.1,550000,-130000.9, -30.95267,4, -520003.8, 0.5565862708719851576994434100
800mm Repeating Cannon I,1250000,949998,300002, 24.00016,6, 1800012, 16.190476190476190476190476190
1200mm Artillery Cannon I,1950000,799997.9,1150002, 58.97446,6, 6900012, 3.4782608695652173913043478300
1400mm Howitzer Artillery I,1450000,1411444,38555.63, 2.659009,10, 385556.2, 32.571428571428571428571428570
Light Missile Launcher I,9243,5500,3743, 40.49551,53, 198379, 20.924671183738541251494619370
Heavy Missile Launcher I,36000,30000,6000, 16.66667,9, 54000, 10.394265232974910394265232970
Torpedo Launcher I,49997.49,35000,14997.49, 29.99648,9, 134977.4, 0
'Basic' Capacitor Power Relay,1.19E+07,1978000,9922000, 83.37815,2, 19844000, 5.5555555555555555555555555600
'Basic' Shield Flux Coil,6500000,2000000,4500000, 69.23077,1, 4500000, 0
'Basic' Capacitor Flux Coil,1.99009E+07,4000000,1.59009E+07, 79.90041,1, 15900900, 0
'Basic' Gyrostabilizer,1.479E+07,3500000,1.129E+07, 76.33537,2, 22580000, 42.105263157894736842105263160
Gyrostabilizer II,850000,884851,-34851, -4.100118,80, -2788080, 27.609427609427609427609427610
Gyrostabilizer I,40000,36449.56,3550.441, 8.876103,40, 142017.7, 19.6289062500
'Basic' Damage Control,5000000,4599798,400202.5, 8.00405,1, 400202.5, 29.411764705882352941176470590
'Micro' Cap Battery,0,4769999,-4769999, -Infinity,1, -4769999, 0
Small Armor Repairer I,11290,12000,-710, -6.288751,14, -9940, 17.777777777777777777777777780
Small Hull Repairer I,30000.01,38999,-8998.99, -29.99662,3, -26996.97, 43.028846153846153846153846150
Stasis Webifier I,30000,42000,-12000, -40,20, -240000, 30.102040816326530612244897960
Stasis Webifier II,950000,1069999,-119999, -12.63147,42, -5039958, 36.906854130052724077328646750
Small Remote Capacitor Transmitter I,44818.18,20999.97,23818.21, 53.14408,5, 119091, 0.8628954937679769894534995200
Small Energy Nosferatu I,34000.01,33810.98,189.0313, 0.5559741,3, 567.0938, 19.239904988123515439429928740
Small Energy Neutralizer I,49999.99,13551.58,36448.41, 72.89683,4, 145793.6, 44.339622641509433962264150940
75mm Gatling Rail I,4750,2499.83,2250.17, 47.372,13, 29252.21, 22.306791569086651053864168620
Light Electron Blaster I,9724.99,12500,-2775.01, -28.53483,11, -30525.11, 28.392857142857142857142857140
Light Ion Blaster I,19999.99,23000,-3000.01, -15.00006,21, -63000.2, 10.629251700680272108843537410
Light Neutron Blaster I,23999.05,24999.99,-1000.939, -4.170746,91, -91085.49, 39.658328248932275777913361810
150mm Railgun I,29474.99,34898,-5423.01, -18.39868,14, -75922.14, 30.113636363636363636363636360
Heavy Electron Blaster I,390000,80999,309001, 79.23103,5, 1545005, 37.391304347826086956521739130
Dual 150mm Railgun I,99999.99,29000,70999.99, 71,4, 284000, 0
Heavy Neutron Blaster I,245147.1,174999,70148.09, 28.61469,5, 350740.5, 9.836065573770491803278688520
Heavy Ion Blaster I,250000,170000,80000, 32,5, 400000, 23.142857142857142857142857140
250mm Railgun I,250000,270000,-20000, -8,11, -220000, 13.519313304721030042918454940
Electron Blaster Cannon I,600000,390000,210000, 35,3, 630000, 53.571428571428571428571428570
Dual 250mm Railgun I,560000,366000,194000, 34.64286,12, 2328000, 0
Neutron Blaster Cannon I,0,1379900,-1379900, -Infinity,5, -6899500, 0
425mm Railgun I,3500000,1599999,1900001, 54.28574,5, 9500005, 0
Ion Blaster Cannon I,995000,699999,295001, 29.64834,4, 1180004, 18.867924528301886792452830190
Medium Capacitor Booster I,199999.8,21001.92,178997.9, 89.49903,4, 715991.7, 18.556701030927835051546391750
Adaptive Invulnerability Field I,66665.97,60000,6665.969, 9.999058,41, 273304.7, 19.194756554307116104868913860
Burst Jammer I,0,38999,-38999, -Infinity,2, -77998, 0
Passive Targeter I,50000,39997.39,10002.61, 20.00522,4, 40010.44, 16.666666666666666666666666670
Bantam,299995,165000,134995, 44.99908,3, 404985, 14.876033057851239669421487600
Condor,200000,264750,-64750, -32.375,6, -388500, 35.877862595419847328244274810
Griffin,100000.4,233499.9,-133499.6, -133.4991,6, -800997.4, 31.981981981981981981981981980
Slasher,200000,299999.6,-99999.59, -49.9998,29, -2899988, 36.294027565084226646248085760
Probe,280000,339500,-59500, -21.25,25, -1487500, 32.128514056224899598393574300
Rifter,239112.1,350000,-110887.9, -46.37486,54, -5987947, 12.553495007132667617689015690
Reaper,6000,40225.82,-34225.82, -570.4304,20, -684516.4, 24.242424242424242424242424240
Executioner,160000,290000,-130000, -81.25002,4, -520000.1, 6.5656565656565656565656565700
Inquisitor,230500,334988.9,-104488.9, -45.33141,4, -417955.6, 7.1856287425149700598802395200
Tormentor,250000,328997.7,-78997.69, -31.59908,4, -315990.8, 13.810741687979539641943734020
Navitas,198000,210000,-11999.98, -6.060598,3, -35999.95, 8.666666666666666666666666670
Tristan,280000,345000,-65000, -23.21428,17, -1105000, 30.200
Incursus,280000,365000,-84999.97, -30.35713,7, -594999.8, 22.025316455696202531645569620
Impairor,12500,24750,-12250, -98,2, -24500, 5.00
Punisher,280000,347000,-67000, -23.92857,6, -402000, 30.645161290322580645161290320
Breacher,300000,345999,-45999.03, -15.33301,8, -367992.2, 18.611987381703470031545741320
Burst,200000,300000,-99999.98, -49.99999,12, -1200000, 24.00
Ibis,11895.59,40000,-28104.41, -236.2591,4, -112417.6, 9.574468085106382978723404260
Kestrel,219000,300000,-81000.02, -36.98631,9, -729000.1, 25.00
Merlin,224000,275000,-51000, -22.76786,8, -408000, 14.176829268292682926829268290
Heron,375000,319999,55000.97, 14.66693,11, 605010.6, 24.709302325581395348837209300
Velator,5000,14654.41,-9654.41, -193.0882,7, -67580.88, 12.500
Imicus,200000,302001.4,-102001.4, -51.00069,10, -1020014, 18.550724637681159420289855070
Atron,299000,260000,39000, 13.04348,12, 468000, 12.653061224489795918367346940
Maulus,211000,277000,-66000, -31.27962,3, -198000, 19.213973799126637554585152840
Immolator,0,9.975E+08,-9.975E+08, -Infinity,1, -997500000, 0
Echo,0,7.2E+08,-7.2E+08, -Infinity,1, -720000000, 0
Osprey,3500000,6100000,-2600000, -74.28571,3, -7800000, 32.283464566929133858267716540
Caracal,5450000,7144990,-1694990, -31.10073,8, -13559920, 30.964467005076142131979695430
Stabber,6500000,6900996,-400996, -6.169169,8, -3207968, 45.00
Moa,7187985,7100000,87985, 1.224056,3, 263955, 21.518987341772151898734177220
Maller,6399990,7400000,-1000010, -15.62518,2, -2000020, 33.103448275862068965517241380
Augoror,3900000,5798989,-1898989, -48.69202,2, -3797978, 12.643678160919540229885057470
Vexor,6399999,8390000,-1990001, -31.09377,11, -21890010, 21.886792452830188679245283020
Thorax,5599999,6999999,-1400000, -25,4, -5600000, 16.568047337278106508875739640
Arbitrator,5899999,6550999,-650999.5, -11.03389,2, -1301999, 40.251572327044025157232704400
Rupture,6800000,7479981,-679981, -9.999721,7, -4759867, 30.952380952380952380952380950
Bellicose,4900000,5900000,-1000000, -20.40816,2, -2000000, 27.868852459016393442622950820
Scythe,4000000,5555555,-1555555, -38.88887,3, -4666665, 18.787878787878787878787878790
Blackbird,3950000,6000000,-2050000, -51.89872,3, -6149998, 25.954198473282442748091603050
Celestis,4150000,6000000,-1850000, -44.57831,1, -1850000, 0
Exequror,4899999,6100000,-1200001, -24.48982,3, -3600003, 26.041666666666666666666666670
Opux Luxury Yacht,0,0,0, NaN,0, 0, 0
Raven,1.19E+08,1.21E+08,-2000000, -1.680672,3, -6000000, 5.00
Tempest,1.5E+08,1.14E+08,3.6E+07, 24,2, 72000000, 17.857142857142857142857142860
Scorpion,9.9999E+07,1.15E+08,-1.5001E+07, -15.00115,1, -15001000, 7.6923076923076923076923076900
Megathron,1.298E+08,1.31285E+08,-1484992, -1.144062,2, -2969984, 23.809523809523809523809523810
Apocalypse,1.2E+08,1.17998E+08,2001992, 1.668327,1, 2001992, 3.4482758620689655172413793100
Armageddon,1.32E+08,1.316E+08,400000, 0.3030303,1, 400000, 7.6923076923076923076923076900
Typhoon,1.2E+08,1.17E+08,3000000, 2.5,3, 9000000, 34.482758620689655172413793100
Dominix,1.25E+08,1.33E+08,-8000000, -6.4,3, -24000000, 16.129032258064516129032258060
Badger,1200000,679999.5,520000.5, 43.33337,2, 1040001, 10.144927536231884057971014490
Tayra,1393943,1035000,358943.1, 25.7502,6, 2153658, 23.529411764705882352941176470
Nereus,621000,780000,-159000, -25.60386,4, -636000, 41.558441558441558441558441560
Hoarder,900000,900000,0, 0,3, 0, 21.538461538461538461538461540
Mammoth,1000000,979995,20005, 2.0005,11, 220055, 32.930513595166163141993957700
Wreathe,376000,1075000,-699000, -185.9042,12, -8388000, 38.190954773869346733668341710
Kryos,799999,820893.5,-20894.5, -2.611816,4, -83578, 36.413043478260869565217391300
Epithal,480000,785000,-305000, -63.54167,6, -1830000, 29.189189189189189189189189190
Miasmos,900000,811796.7,88203.31, 9.800368,9, 793829.8, 20.063694267515923566878980890
Iteron Mark V,1150011,1496995,-346984, -30.17223,10, -3469840, 45.086705202312138728323699420
Erebus,0,0,0, NaN,0, 0, 0
Caldari Shuttle,8500,13200,-4700, -55.29412,26, -122200, 25.925925925925925925925925930
Bantam Blueprint,4999999,2550000,2449999, 48.99998,1, 2449998, 18.7500
Condor Blueprint,5500000,2150000,3350000, 60.90909,1, 3350000, 50.0
Griffin Blueprint,5500000,2350000,3150000, 57.27273,1, 3150000, 80.0
Osprey Blueprint,1.5E+08,8.05E+07,6.95E+07, 46.33333,1, 69500000, 0
Caracal Blueprint,1.6E+08,8.25E+07,7.75E+07, 48.4375,1, 77500000, 0
Raven Blueprint,0,1.135E+09,-1.135E+09, -Infinity,0, 0, 0
Slasher Blueprint,2100000,2100000,0, 0,2, 0, 0
Probe Blueprint,2700000,3450000,-750000, -27.77778,3, -2250000, 0
Rifter Blueprint,2800000,3950000,-1150000, -41.07143,3, -3450000, 0
Stabber Blueprint,8.2E+07,1.16E+08,-3.4E+07, -41.46341,1, -34000000, 0
Tempest Blueprint,1.055E+09,1.25E+09,-1.95E+08, -18.48341,1, -195000000, 0
Miner I Blueprint,92720,92720,0, 0,1, 0, 0
Light Missile Launcher I Blueprint,60000,60000,0, 0,1, 0, 0
Heavy Missile Launcher I Blueprint,300000,350000,-50000, -16.66667,1, -50000, 0
Torpedo Launcher I Blueprint,999960,999960,0, 0,1, 0, 0
Mjolnir Cruise Missile Blueprint,5000000,5000000,0, 0,1, 0, 0
Scourge Cruise Missile Blueprint,3000000,3000000,0, 0,1, 0, 0
Inferno Cruise Missile Blueprint,4000000,4000000,0, 0,1, 0, 0
Nova Cruise Missile Blueprint,2500000,2500000,0, 0,1, 0, 0
Nova Heavy Missile Blueprint,700000,700000,0, 0,1, 0, 0
Mjolnir Heavy Missile Blueprint,900000,900000,0, 0,1, 0, 0
Inferno Heavy Missile Blueprint,800000,800000,0, 0,1, 0, 0
Scourge Heavy Missile Blueprint,750000,750000,0, 0,2, 0, 0
Scourge Light Missile Blueprint,150000,150000,0, 0,2, 0, 0
Inferno Light Missile Blueprint,160000,160000,0, 0,1, 0, 0
Mjolnir Light Missile Blueprint,180000,180000,0, 0,2, 0, 0
Nova Light Missile Blueprint,140000,140000,0, 0,2, 0, 0
125mm Gatling AutoCannon I Blueprint,20000,20000,0, 0,1, 0, 0
150mm Light AutoCannon I Blueprint,60000,60000,0, 0,1, 0, 0
200mm AutoCannon I Blueprint,90000,90000,0, 0,3, 0, 0
250mm Light Artillery Cannon I Blueprint,120000,251000,-131000, -109.1667,2, -262000, 0
280mm Howitzer Artillery I Blueprint,150000,390000,-240000, -160,4, -960000, 0
Dual 180mm AutoCannon I Blueprint,200000,214999,-14999, -7.4995,1, -14999, 0
220mm Vulcan AutoCannon I Blueprint,600000,600000,0, 0,1, 0, 0
425mm AutoCannon I Blueprint,900000,928999,-28999, -3.222111,2, -57998, 0
650mm Artillery Cannon I Blueprint,1200000,1259998,-59998, -4.999833,2, -119996, 0
720mm Howitzer Artillery I Blueprint,1500000,1650000,-150000, -10,3, -450000, 0
Dual 425mm AutoCannon I Blueprint,2000000,3000000,-1000000, -50,1, -1000000, 0
Dual 650mm Repeating Cannon I Blueprint,6000000,7200000,-1200000, -20,1, -1200000, 0
800mm Repeating Cannon I Blueprint,9000000,1.4E+07,-5000000, -55.55556,1, -5000000, 0
1200mm Artillery Cannon I Blueprint,1.2E+07,1.38E+07,-1800000, -15,1, -1800000, 0
1400mm Howitzer Artillery I Blueprint,1.5E+07,1.71E+07,-2100000, -14,1, -2100000, 0
Gatling Pulse Laser I Blueprint,20000,20000,0, 0,1, 0, 0
Dual Light Pulse Laser I Blueprint,60000,60000,0, 0,1, 0, 0
Dual Light Beam Laser I Blueprint,90000,90000,0, 0,1, 0, 0
Small Focused Pulse Laser I Blueprint,1E+07,280000,9720000, 97.2,1, 9720000, 33.333333333333333333333333330
Small Focused Beam Laser I Blueprint,1E+07,200000,9800000, 98,1, 9800000, 16.666666666666666666666666670
Quad Light Beam Laser I Blueprint,1E+07,800000,9200000, 92,1, 9200000, 50.0
Focused Medium Pulse Laser I Blueprint,1E+07,1000000,9000000, 90,1, 9000000, 0
Focused Medium Beam Laser I Blueprint,1E+07,1500000,8500000, 85,1, 8500000, 16.666666666666666666666666670
Heavy Pulse Laser I Blueprint,2E+07,2E+07,0, 0,1, 0, 0
Heavy Beam Laser I Blueprint,2E+07,1600000,1.84E+07, 92,1, 18400000, 0
Dual Heavy Pulse Laser I Blueprint,4E+07,3900000,3.61E+07, 90.25,1, 36100000, 0
