ItemName,Price,BasePrice,Difference,ProfitMargin,AverageVolume,AverageDailyProfitPotential,PercentSoldInventory,,
Obelisk Glacial Drift SKIN (Permanent),"600,000,000.00","16,500,010.00","583,500,000.00",97.25,1.00,"583,500,000.00",0.00,,
Gistum A-Type 10MN Afterburner,"975,000,000.00","397,900,000.00","577,100,000.00",59.19,1.00,"577,100,000.00",0.00,,
Corelum A-Type 10MN Afterburner,"1,000,000,000.00","444,800,000.00","555,200,000.00",55.52,1.00,"555,200,000.00",0.00,,
Eifyr and Co. 'Rogue' Evasive Maneuvering EM-706,"1,200,000,000.00","648,990,000.00","551,010,000.00",45.92,1.00,"551,010,000.00",0.00,,
Inherent Implants 'Squire' Capacitor Systems Operation EO-606,"1,250,000,000.00","699,999,500.00","550,000,500.00",44.00,1.00,"550,000,500.00",0.00,,
Vargur Dawn of Liberation SKIN (Permanent),"600,000,000.00","50,000,000.00","550,000,000.00",91.67,1.00,"550,000,000.00",0.00,,
Amethystic Crystallite,"200,000.00","4,088.00","195,912.00",97.96,"2,758.00","540,325,300.00",0.00,,
PLEX,"4,240,000.00","4,220,000.00","20,000.00",0.47,"26,884.00","537,680,000.00",18.96,,
XL Torpedo Launcher II,"367,000,000.00","191,000,700.00","175,999,300.00",47.96,3.00,"527,998,000.00",0.00,,
Capital Construction Parts Blueprint,"1,600,000,000.00","1,080,000,000.00","520,000,000.00",32.50,1.00,"520,000,000.00",0.00,,
Kronos Spirit SKIN (Permanent),"500,000,000.00","4,785,000.00","495,215,000.00",99.04,1.00,"495,215,000.00",0.00,,
Eifyr and Co. 'Gunslinger' Surgical Strike SS-906,"1,100,000,000.00","604,999,900.00","495,000,100.00",45.00,1.00,"495,000,100.00",0.00,,
Rapid Torpedo Launcher II,"349,000,000.00","189,402,100.00","159,597,900.00",45.73,3.00,"478,793,800.00",0.00,,
Eifyr and Co. 'Rogue' Warp Drive Speed WS-618,"1,100,000,000.00","640,747,200.00","459,252,800.00",41.75,1.00,"459,252,800.00",0.00,,
Capital Sensor Cluster Blueprint,"1,659,000,000.00","1,202,763,000.00","456,236,700.00",27.50,1.00,"456,236,700.00",0.00,,
Capital Computer System Blueprint,"1,679,000,000.00","1,228,399,000.00","450,601,100.00",26.84,1.00,"450,601,100.00",0.00,,
Sin,"1,390,000,000.00","948,988,000.00","441,012,000.00",31.73,1.00,"441,012,000.00",0.00,,
High-grade Ascendancy Epsilon,"1,321,655,000.00","881,500,000.00","440,154,900.00",33.30,1.00,"440,154,900.00",0.00,,
High-grade Asklepian Epsilon,"999,897,900.00","560,000,000.00","439,897,900.00",43.99,1.00,"439,897,900.00",40.00,,
Capital Ancillary Current Router II,"848,700,000.00","410,000,000.00","438,700,000.00",51.69,1.00,"438,700,000.00",0.00,,
Core X-Type 100MN Afterburner,"700,000,000.00","262,777,300.00","437,222,700.00",62.46,1.00,"437,222,700.00",0.00,,
Low-grade Harvest Epsilon,"775,000,000.00","360,000,000.00","415,000,000.00",53.55,1.00,"415,000,000.00",0.00,,
High-grade Ascendancy Gamma,"676,700,000.00","273,555,000.00","403,145,000.00",59.58,1.00,"403,145,000.00",50.00,,
X-Large Ship Maintenance Array,"1,400,000,000.00","1,000,000,000.00","400,000,000.00",28.57,1.00,"400,000,000.00",0.00,,
Stratios Crystal Blast SKIN (Permanent),"600,000,000.00","200,010,000.00","399,990,000.00",66.67,1.00,"399,990,000.00",0.00,,
Capital Transverse Bulkhead II,"299,760,000.00","99,996,370.00","199,763,600.00",66.64,2.00,"399,527,300.00",18.75,,
Compressed Vitreous Mercoxit,"38,207,490.00","1,974,004.00","36,233,480.00",94.83,11.00,"398,568,300.00",0.00,,
Capital Drone Mining Augmentor II,"759,997,000.00","563,080,600.00","196,916,400.00",25.91,2.00,"393,832,700.00",12.50,,
New Eden Soundbox,"400,000,000.00","9,000,000.00","391,000,000.00",97.75,1.00,"391,000,000.00",0.00,,
Redeemer,"1,490,000,000.00","1,104,000,000.00","386,000,000.00",25.91,1.00,"386,000,000.00",0.00,,
ORE Ice Harvester,"370,000,000.00","177,999,700.00","192,000,300.00",51.89,2.00,"384,000,600.00",58.33,,
Standup M-Set Blueprint Copy Accelerator I,"881,000,000.00","498,543,600.00","382,456,400.00",43.41,1.00,"382,456,400.00",0.00,,
Dual Giga Pulse Laser II,"425,000,000.00","238,000,000.00","187,000,000.00",44.00,2.00,"374,000,000.00",0.00,,
Capital Shield Emitter Blueprint,"1,679,000,000.00","1,306,728,000.00","372,272,000.00",22.17,1.00,"372,272,000.00",0.00,,
Core X-Type 500MN Microwarpdrive,"750,000,000.00","379,990,000.00","370,010,000.00",49.33,1.00,"370,010,000.00",0.00,,
Standup Hyasyoda Research Lab,"711,000,000.00","344,000,300.00","366,999,700.00",51.62,1.00,"366,999,700.00",0.00,,
High-grade Crystal Omega,"1,407,000,000.00","1,042,000,000.00","365,000,100.00",25.94,1.00,"365,000,100.00",0.00,,
Capital Ancillary Remote Shield Booster,"194,659,500.00","14,000,000.00","180,659,500.00",92.81,2.00,"361,319,000.00",0.00,,
Capital Capacitor Battery Blueprint,"1,659,000,000.00","1,300,000,000.00","358,999,900.00",21.64,1.00,"358,999,900.00",0.00,,
Skill Extractor,"520,000,000.00","504,900,000.00","15,100,000.00",2.90,23.00,"347,300,000.00",0.00,,
Caldari Control Tower,"550,606,000.00","208,000,000.00","342,606,000.00",62.22,1.00,"342,606,000.00",0.00,,
Scout Scoped Quad 800mm Repeating Cannon,"179,800,000.00","67,380,000.00","112,420,000.00",62.53,3.00,"337,260,000.00",25.00,,
Quad 800mm Repeating Cannon II,"344,888,900.00","233,121,900.00","111,767,000.00",32.41,3.00,"335,301,000.00",16.67,,
Gist A-Type 500MN Microwarpdrive,"450,000,000.00","117,920,000.00","332,080,000.00",73.80,1.00,"332,080,000.00",0.00,,
Hexa 2500mm Repeating Cannon II,"345,000,000.00","179,630,400.00","165,369,600.00",47.93,2.00,"330,739,300.00",0.00,,
High-grade Snake Omega,"1,600,000,000.00","1,270,000,000.00","330,000,000.00",20.63,1.00,"330,000,000.00",0.00,,
Worm,"166,000,000.00","57,190,000.00","108,810,000.00",65.55,3.00,"326,430,000.00",0.00,,
CONCORD Capital Shield Booster,"630,000,000.00","307,000,000.00","323,000,000.00",51.27,1.00,"323,000,000.00",0.00,,
Kronos,"1,695,000,000.00","1,375,500,000.00","319,499,900.00",18.85,1.00,"319,499,900.00",0.00,,
High-grade Snake Epsilon,"900,000,000.00","584,995,800.00","315,004,200.00",35.00,1.00,"315,004,200.00",0.00,,
Revelation Purity of the Throne SKIN (Permanent),"400,000,000.00","87,998,000.00","312,002,000.00",78.00,1.00,"312,002,000.00",0.00,,
Corpum A-Type Energized Adaptive Nano Membrane,"1,697,995,000.00","1,390,000,000.00","307,995,000.00",18.14,1.00,"307,995,000.00",0.00,,
Corelum B-Type Medium Armor Repairer,"444,444,400.00","138,210,800.00","306,233,600.00",68.90,1.00,"306,233,600.00",33.33,,
High-grade Grail Epsilon,"300,000,000.00",0.00,"300,000,000.00",100.00,1.00,"300,000,000.00",0.00,,
‘Geiravor’ Explosive Lance Blueprint,"300,000,000.00",0.00,"300,000,000.00",100.00,1.00,"300,000,000.00",0.00,,
‘Jormungandr’ Explosive Reaper Blueprint,"300,000,000.00",0.00,"300,000,000.00",100.00,1.00,"300,000,000.00",0.00,,
Minmatar Phenomena Generator Blueprint,"300,000,000.00",0.00,"300,000,000.00",100.00,1.00,"300,000,000.00",0.00,,
Archon Hunter's Quiver SKIN (Permanent),"300,000,000.00","4,500,000.00","295,500,000.00",98.50,1.00,"295,500,000.00",0.00,,
Large Salvage Tackle II,"295,000,000.00",0.00,"295,000,000.00",100.00,1.00,"295,000,000.00",16.67,,
Men's Minmatar Republic Officer Jacket,"490,000,000.00","198,000,000.00","292,000,000.00",59.59,1.00,"292,000,000.00",0.00,,
10000MN Afterburner II,"494,999,000.00","203,990,000.00","291,009,000.00",58.79,1.00,"291,009,000.00",0.00,,
Standup M-Set Moon Ore Grading Processor I,"999,965,000.00","711,844,000.00","288,121,000.00",28.81,1.00,"288,121,000.00",0.00,,
High-grade Slave Epsilon,"773,000,000.00","485,000,100.00","287,999,900.00",37.26,1.00,"287,999,900.00",0.00,,
Vargur,"1,695,999,000.00","1,408,000,000.00","287,999,000.00",16.98,1.00,"287,999,000.00",0.00,,
Centum B-Type Energized Adaptive Nano Membrane,"699,000,000.00","422,222,000.00","276,778,000.00",39.60,1.00,"276,778,000.00",0.00,,
50000MN Quad LiF Restrained Microwarpdrive,"349,900,000.00","73,999,980.00","275,900,000.00",78.85,1.00,"275,900,000.00",0.00,,
Standup M-Set ME Research Accelerator I,"569,999,000.00","294,900,000.00","275,099,000.00",48.26,1.00,"275,099,000.00",33.33,,
Locust II,"19,954,790.00","6,499,899.00","13,454,890.00",67.43,20.00,"269,097,700.00",0.00,,
'Subverted' JVN-UC49 Blueprint Crate,"500,000,000.00","240,000,000.00","260,000,000.00",52.00,1.00,"260,000,000.00",0.00,,
Whelan Machorin's Ballistic Smartlink,"595,000,000.00","337,000,000.00","258,000,000.00",43.36,1.00,"258,000,000.00",0.00,,
Capital Remote Capacitor Transmitter II,"299,777,800.00","41,994,000.00","257,783,800.00",85.99,1.00,"257,783,800.00",25.00,,
Low-grade Nomad Epsilon,"749,900,000.00","494,558,200.00","255,341,800.00",34.05,1.00,"255,341,800.00",0.00,,
Standup M-Set Enhanced Targeting System I,"566,000,000.00","311,238,700.00","254,761,300.00",45.01,1.00,"254,761,300.00",50.00,,
Federation Navy Command Mindlink,"588,030,000.00","333,500,000.00","254,530,000.00",43.29,1.00,"254,530,000.00",0.00,,
Standup Guided Bomb Launcher II,"595,000,000.00","346,994,000.00","248,006,000.00",41.68,1.00,"248,006,000.00",0.00,,
50000MN Y-T8 Compact Microwarpdrive,"394,000,000.00","149,999,000.00","244,001,000.00",61.93,1.00,"244,001,000.00",0.00,,
Numon Family Heirloom,"450,000,000.00","207,000,000.00","243,000,000.00",54.00,1.00,"243,000,000.00",0.00,,
High-grade Snake Delta,"588,000,000.00","358,000,000.00","230,000,000.00",39.12,1.00,"230,000,000.00",0.00,,
Syndicate Damage Control,"498,000,000.00","270,015,000.00","227,985,000.00",45.78,1.00,"227,985,000.00",0.00,,
Dread Guristas Inferno Cruise Missile,"220,000.00","69,999.94","150,000.00",68.18,"1,500.00","225,000,100.00",7.14,,
Republic Fleet Nova Auto-Targeting Cruise Missile I,"2,000,000.00","790,000.00","1,210,000.00",60.50,185.00,"223,850,000.00",0.00,,
High-grade Talisman Epsilon,"319,590,000.00","98,000,000.00","221,590,000.00",69.34,1.00,"221,590,000.00",0.00,,
Gnosis Capsuleer Elite XV SKIN (Permanent),"218,000,000.00","844,999.90","217,155,000.00",99.61,1.00,"217,155,000.00",0.00,,
Women's Republic Fleet Ordnance Jacket,"490,000,000.00","275,000,000.00","215,000,000.00",43.88,1.00,"215,000,000.00",50.00,,
Standup Dragonfly I,"22,000,000.00","4,167,000.00","17,833,000.00",81.06,12.00,"213,996,000.00",31.15,,
Typhoon Krusual SKIN (Permanent),"280,000,000.00","66,010,060.00","213,989,900.00",76.42,1.00,"213,989,900.00",0.00,,
Republic Fleet Command Mindlink,"510,000,000.00","299,500,000.00","210,500,000.00",41.27,1.00,"210,500,000.00",0.00,,
Large Remote Repair Augmentor II,"299,990,000.00","194,969,800.00","105,020,300.00",35.01,2.00,"210,040,500.00",10.00,,
Caldari Navy Heavy Assault Missile Launcher,"179,000,000.00","110,000,000.00","69,000,010.00",38.55,3.00,"207,000,000.00",0.00,,
Vindicator Sarpati's Revenge - Igil SKIN (Permanent),"300,000,000.00","94,200,000.00","205,800,000.00",68.60,1.00,"205,800,000.00",0.00,,
Monitor,"674,990,000.00","470,000,000.00","204,990,000.00",30.37,1.00,"204,990,000.00",50.00,,
Pithum C-Type Adaptive Invulnerability Field,"458,000,000.00","356,000,000.00","102,000,000.00",22.27,2.00,"204,000,000.00",20.00,,
Corelum C-Type Energized Adaptive Nano Membrane,"320,000,000.00","117,800,000.00","202,200,000.00",63.19,1.00,"202,200,000.00",0.00,,
Quad 800mm Repeating Cannon I,"148,000,000.00","46,997,970.00","101,002,000.00",68.24,2.00,"202,004,100.00",0.00,,
10000MN Monopropellant Enduring Afterburner,"279,000,000.00","76,999,940.00","202,000,100.00",72.40,1.00,"202,000,100.00",0.00,,
Gist B-Type 500MN Microwarpdrive,"300,000,000.00","99,888,860.00","200,111,100.00",66.70,1.00,"200,111,100.00",33.33,,
Corpus A-Type Armor Explosive Hardener,"200,000,000.00",0.00,"200,000,000.00",100.00,1.00,"200,000,000.00",50.00,,
Drake Blueprint,"780,000,000.00","580,000,000.00","200,000,000.00",25.64,1.00,"200,000,000.00",0.00,,
Concussion Bomb Blueprint,"400,000,000.00","200,000,000.00","200,000,000.00",50.00,1.00,"200,000,000.00",0.00,,
Inquisitor Hunter's Quiver SKIN (Permanent),"100,000,000.00","500,000.00","99,500,000.00",99.50,2.00,"199,000,000.00",0.00,,
High-grade Asklepian Beta,"350,000,000.00","152,286,100.00","197,713,900.00",56.49,1.00,"197,713,900.00",25.00,,
Scimitar Dawn of Liberation SKIN (Permanent),"250,000,000.00","53,000,000.00","197,000,000.00",78.80,1.00,"197,000,000.00",0.00,,
Triple Neutron Blaster Cannon I,"148,000,000.00","50,000,000.00","98,000,000.00",66.22,2.00,"196,000,000.00",0.00,,
Gistum C-Type Adaptive Invulnerability Field,"410,000,000.00","312,000,000.00","97,999,970.00",23.90,2.00,"195,999,900.00",0.00,,
Typhoon Hunter's Quiver SKIN (Permanent),"100,000,000.00","2,750,000.00","97,250,000.00",97.25,2.00,"194,500,000.00",0.00,,
ORE Strip Miner,"304,489,900.00","239,899,000.00","64,590,900.00",21.21,3.00,"193,772,700.00",15.38,,
Mid-grade Crystal Omega,"498,000,000.00","306,020,600.00","191,979,400.00",38.55,1.00,"191,979,400.00",0.00,,
Bowhead Blueprint,"1,999,900,000.00","1,808,191,000.00","191,709,300.00",9.59,1.00,"191,709,300.00",0.00,,
Low-grade Slave Epsilon,"349,000,000.00","157,947,000.00","191,053,000.00",54.74,1.00,"191,053,000.00",0.00,,
Astrahus,"997,600,000.00","807,222,000.00","190,378,000.00",19.08,1.00,"190,378,000.00",0.00,,
Capital Warhead Rigor Catalyst II,"390,000,000.00","200,000,000.00","190,000,000.00",48.72,1.00,"190,000,000.00",50.00,,
Vendetta Glacial Drift SKIN (Permanent),"200,000,000.00","10,000,000.00","190,000,000.00",95.00,1.00,"190,000,000.00",0.00,,
High-grade Snake Beta,"338,000,000.00","149,977,500.00","188,022,500.00",55.63,1.00,"188,022,500.00",0.00,,
Industrial Core II,"250,000,000.00","62,000,000.00","188,000,000.00",75.20,1.00,"188,000,000.00",0.00,,
Minmatar Inception Package ,"280,000,000.00","95,000,000.00","185,000,000.00",66.07,1.00,"185,000,000.00",0.00,,
Standup M-Set Ice Grading Processor I,"884,887,000.00","700,989,900.00","183,897,100.00",20.78,1.00,"183,897,100.00",50.00,,
Ancient Coordinates Database,"1,520,000.00","1,469,000.00","51,000.00",3.36,"3,605.00","183,855,000.00",0.00,,
Mid-grade Nomad Alpha,"182,000,000.00",0.00,"182,000,000.00",100.00,1.00,"182,000,000.00",0.00,,
ORE Expanded Cargohold,"390,000,000.00","299,020,500.00","90,979,460.00",23.33,2.00,"181,958,900.00",0.00,,
Capital Armor Repairer II,"588,111,100.00","408,000,000.00","180,111,100.00",30.63,1.00,"180,111,100.00",25.00,,
Zainou 'Gnome' Shield Upgrades SU-605,"220,000,000.00","40,000,000.00","180,000,000.00",81.82,1.00,"180,000,000.00",25.00,,
Capital Armor Plates Blueprint,"1,679,000,000.00","1,500,000,000.00","178,999,900.00",10.66,1.00,"178,999,900.00",0.00,,
Eifyr and Co. 'Alchemist' Neurotoxin Recovery NR-1003,"180,000,000.00","1,199,000.00","178,801,000.00",99.33,1.00,"178,801,000.00",0.00,,
Standup Einherji I,"22,047,340.00","4,298,998.00","17,748,340.00",80.50,10.00,"177,483,400.00",48.00,,
CONCORD Capital Shield Extender,"505,777,700.00","329,000,000.00","176,777,700.00",34.95,1.00,"176,777,700.00",20.00,,
Infrastructure Hub,"666,666,700.00","490,000,000.00","176,666,700.00",26.50,1.00,"176,666,700.00",0.00,,
Low-grade Nomad Delta,"345,000,000.00","170,000,000.00","175,000,000.00",50.72,1.00,"175,000,000.00",0.00,,
High-grade Asklepian Gamma,"390,000,000.00","215,107,900.00","174,892,100.00",44.84,1.00,"174,892,100.00",0.00,,
Dread Guristas Mjolnir Torpedo,"298,990.50","88,998.38","209,992.20",70.23,832.00,"174,713,500.00",3.13,,
Large Drone Mining Augmentor II,"176,000,000.00","117,997,400.00","58,002,560.00",32.96,3.00,"174,007,700.00",47.17,,
Zainou 'Deadeye' Small Hybrid Turret SH-605,"249,000,000.00","74,999,980.00","174,000,000.00",69.88,1.00,"174,000,000.00",0.00,,
Ore Prospecting Array 1,"250,000,000.00","77,333,380.00","172,666,600.00",69.07,1.00,"172,666,600.00",0.00,,
Pirate Detection Array 3,"452,000,000.00","280,000,000.00","172,000,000.00",38.05,1.00,"172,000,000.00",0.00,,
Cynosural Suppression,"421,000,000.00","250,000,000.00","171,000,000.00",40.62,1.00,"171,000,000.00",0.00,,
Pithum C-Type Medium Shield Booster,"153,500,000.00","68,000,000.00","85,500,000.00",55.70,2.00,"171,000,000.00",0.00,,
Men's Republic Fleet Ordnance Jacket,"377,777,800.00","210,000,000.00","167,777,800.00",44.41,1.00,"167,777,800.00",33.33,,
High-grade Crystal Epsilon,"650,000,000.00","483,000,000.00","167,000,000.00",25.69,1.00,"167,000,000.00",0.00,,
Capital Shield Extender I Blueprint,"175,000,000.00","9,200,000.00","165,800,000.00",94.74,1.00,"165,800,000.00",0.00,,
Confessor Cold Iron SKIN (Permanent),"250,000,000.00","84,997,000.00","165,003,000.00",66.00,1.00,"165,003,000.00",0.00,,
Corelum A-Type 50MN Microwarpdrive,"750,000,000.00","584,999,400.00","165,000,600.00",22.00,1.00,"165,000,600.00",0.00,,
'Subverted' JVN-UC49,"124,900,000.00","69,999,990.00","54,900,010.00",43.96,3.00,"164,700,000.00",10.00,,
Apocalypse Navy Issue,"623,433,500.00","459,000,000.00","164,433,500.00",26.38,1.00,"164,433,500.00",0.00,,
Standup M-Set Moon Drilling Efficiency I,"949,999,000.00","786,000,000.00","163,999,000.00",17.26,1.00,"163,999,000.00",0.00,,
Pith X-Type Large Shield Booster,"494,500,000.00","330,992,000.00","163,508,000.00",33.07,1.00,"163,508,000.00",0.00,,
Revelation Kador SKIN (Permanent),"200,000,000.00","37,750,000.00","162,250,000.00",81.13,1.00,"162,250,000.00",0.00,,
Cenobite II,"29,958,490.00","13,750,000.00","16,208,490.00",54.10,10.00,"162,084,900.00",0.00,,
Dread Guristas Rapid Heavy Missile Launcher,"87,700,000.00","34,000,000.00","53,700,000.00",61.23,3.00,"161,100,000.00",54.55,,
Scorch Bomb Blueprint,"400,000,000.00","239,000,000.00","161,000,000.00",40.25,1.00,"161,000,000.00",0.00,,
Capital F-RX Compact Capacitor Booster,"268,997,800.00","108,000,000.00","160,997,800.00",59.85,1.00,"160,997,800.00",40.00,,
Panther,"1,240,000,000.00","1,080,000,000.00","160,000,000.00",12.90,1.00,"160,000,000.00",0.00,,
Unstable Magnetic Field Stabilizer Mutaplasmid,"110,000,000.00","30,000,000.00","80,000,000.00",72.73,2.00,"160,000,000.00",0.00,,
50000MN Y-T8 Compact Microwarpdrive Blueprint,"158,000,000.00",0.00,"158,000,000.00",100.00,1.00,"158,000,000.00",0.00,,
50000MN Quad LiF Restrained Microwarpdrive Blueprint,"158,000,000.00",0.00,"158,000,000.00",100.00,1.00,"158,000,000.00",0.00,,
Core X-Type Large Armor Repairer,"264,999,000.00","107,000,100.00","157,998,900.00",59.62,1.00,"157,998,900.00",0.00,,
Capital Asymmetric Enduring Remote Shield Booster,"299,000,000.00","143,699,000.00","155,301,000.00",51.94,1.00,"155,301,000.00",0.00,,
Capital Low Friction Nozzle Joints II,"295,666,700.00","141,000,000.00","154,666,700.00",52.31,1.00,"154,666,700.00",75.00,,
Vargur Glacial Drift SKIN (Permanent),"165,245,700.00","11,000,000.00","154,245,700.00",93.34,1.00,"154,245,700.00",0.00,,
Pithum B-Type Adaptive Invulnerability Field,"880,000,000.00","726,000,000.00","154,000,000.00",17.50,1.00,"154,000,000.00",0.00,,
Shadow Serpentis Power Diagnostic System,"227,777,800.00","75,000,000.00","152,777,800.00",67.07,1.00,"152,777,800.00",50.00,,
High-grade Talisman Delta,"210,000,000.00","57,800,000.00","152,200,000.00",72.48,1.00,"152,200,000.00",0.00,,
Pirate Detection Array 1,"252,000,000.00","99,834,420.00","152,165,600.00",60.38,1.00,"152,165,600.00",33.33,,
Capital Transverse Bulkhead I,"152,981,000.00","77,000,000.00","75,980,990.00",49.67,2.00,"151,962,000.00",78.72,,
Men's 'Crusher' Cybernetic Arm (green camo left),"250,000,000.00","98,091,700.00","151,908,300.00",60.76,1.00,"151,908,300.00",0.00,,
Large Drone Control Range Augmentor II,"244,444,400.00","92,720,000.00","151,724,400.00",62.07,1.00,"151,724,400.00",46.67,,
Stratios SOE Fire Cell (Defense) SKIN (Permanent),"345,000,000.00","194,000,000.00","151,000,000.00",43.77,1.00,"151,000,000.00",0.00,,
Capital I-a Enduring Armor Repairer,"260,000,000.00","109,840,500.00","150,159,500.00",57.75,1.00,"150,159,500.00",16.67,,
Mid-grade Nomad Delta,"500,000,000.00","349,956,700.00","150,043,300.00",30.01,1.00,"150,043,300.00",0.00,,
CONCORD Capital Armor Repairer,"750,000,000.00","600,000,000.00","150,000,000.00",20.00,1.00,"150,000,000.00",50.00,,
Gistii C-Type 1MN Afterburner,"150,000,000.00",0.00,"150,000,000.00",100.00,1.00,"150,000,000.00",0.00,,
Centum A-Type Energized Adaptive Nano Membrane,"1,450,000,000.00","1,300,000,000.00","150,000,000.00",10.34,1.00,"150,000,000.00",0.00,,
Centus A-Type Armor Explosive Hardener,"150,000,000.00",0.00,"150,000,000.00",100.00,1.00,"150,000,000.00",0.00,,
Standup Multirole Missile Launcher II,"350,000,000.00","200,000,000.00","150,000,000.00",42.86,1.00,"150,000,000.00",14.29,,
Small Skill Injector,"199,967,000.00","193,190,000.00","6,776,992.00",3.39,22.00,"149,093,800.00",21.21,,
Providence,"1,078,000,000.00","929,960,000.00","148,040,000.00",13.73,1.00,"148,040,000.00",25.00,,
Standup Hybrid Reactor I,"300,000,000.00","153,000,000.00","147,000,000.00",49.00,1.00,"147,000,000.00",25.00,,
Victorieux Luxury Yacht,"344,750,100.00","199,000,000.00","145,750,100.00",42.28,1.00,"145,750,100.00",0.00,,
Gist X-Type Large Shield Booster,"449,500,000.00","304,500,000.00","145,000,000.00",32.26,1.00,"145,000,000.00",0.00,,
Intensive Reprocessing Array,"200,000,000.00","55,000,000.00","145,000,000.00",72.50,1.00,"145,000,000.00",0.00,,
Capital Core Defense Field Extender II,"700,000,000.00","556,993,500.00","143,006,500.00",20.43,1.00,"143,006,500.00",0.00,,
Standup Biochemical Reactor I,"259,664,800.00","117,000,000.00","142,664,800.00",54.94,1.00,"142,664,800.00",0.00,,
Pirate Detection Array 4,"500,000,000.00","358,500,000.00","141,500,000.00",28.30,1.00,"141,500,000.00",0.00,,
Capital Energy Neutralizer II,"249,999,000.00","109,034,300.00","140,964,700.00",56.39,1.00,"140,964,700.00",0.00,,
Large Anti-Thermal Pump II,"299,960,000.00","159,690,000.00","140,270,000.00",46.76,1.00,"140,270,000.00",9.52,,
Mid-grade Asklepian Omega,"535,000,000.00","394,973,100.00","140,026,900.00",26.17,1.00,"140,026,900.00",0.00,,
Structure Advertisement Nexus,"100,000,000.00","64,999,990.00","35,000,010.00",35.00,4.00,"140,000,000.00",0.00,,
Widow,"1,099,900,000.00","960,000,000.00","139,900,000.00",12.72,1.00,"139,900,000.00",0.00,,
Standup Termite I,"35,963,680.00","7,999,999.00","27,963,680.00",77.76,5.00,"139,818,400.00",0.00,,
