ItemName,Price,BasePrice,Difference,ProfitMargin,AverageVolume,AverageDailyProfitPotential,PercentSoldInventory,,
Inferno Light Missile,"676,700,000.00","275,000,000.00","401,700,000.00",59.36,1.00,"401,700,000.00",50.00,,
Mjolnir Light Missile,"1,599,000,000.00","1,199,000,000.00","400,000,000.00",25.02,1.00,"400,000,000.00",0.00,,
Nova Light Missile,"1,600,000,000.00","1,200,000,000.00","400,000,000.00",25.00,1.00,"400,000,000.00",0.00,,
Iron Charge S,"600,000,000.00","200,010,000.00","399,990,000.00",66.67,1.00,"399,990,000.00",0.00,,
Tungsten Charge S,"299,760,000.00","99,996,370.00","199,763,600.00",66.64,2.00,"399,527,300.00",18.75,,
Iridium Charge S,"38,207,490.00","1,999,000.00","36,208,490.00",94.77,11.00,"398,293,400.00",0.00,,
Lead Charge S,"759,998,000.00","563,899,800.00","196,098,200.00",25.80,2.00,"392,196,500.00",12.50,,
Thorium Charge S,"400,000,000.00","9,000,000.00","391,000,000.00",97.75,1.00,"391,000,000.00",0.00,,
Uranium Charge S,"1,490,000,000.00","1,104,000,000.00","386,000,000.00",25.91,1.00,"386,000,000.00",0.00,,
Plutonium Charge S,"370,000,000.00","177,999,700.00","192,000,300.00",51.89,2.00,"384,000,500.00",58.33,,
Antimatter Charge S,"881,000,000.00","498,543,600.00","382,456,400.00",43.41,1.00,"382,456,400.00",0.00,,
Iron Charge M,"1,679,000,000.00","1,306,728,000.00","372,272,000.00",22.17,1.00,"372,272,000.00",0.00,,
Tungsten Charge M,"750,000,000.00","379,796,400.00","370,203,600.00",49.36,1.00,"370,203,600.00",0.00,,
Iridium Charge M,"1,407,000,000.00","1,042,000,000.00","365,000,100.00",25.94,1.00,"365,000,100.00",0.00,,
Lead Charge M,"194,659,500.00","14,000,000.00","180,659,500.00",92.81,2.00,"361,319,000.00",0.00,,
Thorium Charge M,"119,764,500.00",0.00,"119,764,500.00",100.00,3.00,"359,293,400.00",0.00,,
Uranium Charge M,"1,659,000,000.00","1,300,000,000.00","358,999,900.00",21.64,1.00,"358,999,900.00",0.00,,
Plutonium Charge M,"425,000,000.00","246,406,900.00","178,593,100.00",42.02,2.00,"357,186,100.00",0.00,,
Antimatter Charge M,"1,400,000,000.00","1,050,000,000.00","350,000,000.00",25.00,1.00,"350,000,000.00",0.00,,
Iron Charge L,"550,606,000.00","208,000,000.00","342,606,000.00",62.22,1.00,"342,606,000.00",0.00,,
Tungsten Charge L,"179,800,000.00","67,382,000.00","112,418,000.00",62.52,3.00,"337,254,000.00",25.00,,
Iridium Charge L,"344,888,900.00","233,124,400.00","111,764,500.00",32.41,3.00,"335,293,400.00",16.67,,
Lead Charge L,"450,000,000.00","117,000,000.00","333,000,000.00",74.00,1.00,"333,000,000.00",0.00,,
Thorium Charge L,"345,000,000.00","179,633,400.00","165,366,600.00",47.93,2.00,"330,733,100.00",0.00,,
Uranium Charge L,"1,697,000,000.00","1,375,500,000.00","321,500,000.00",18.95,1.00,"321,500,000.00",0.00,,
Plutonium Charge L,"900,000,000.00","584,997,400.00","315,002,600.00",35.00,1.00,"315,002,600.00",0.00,,
Antimatter Charge L,"400,000,000.00","87,998,000.00","312,002,000.00",78.00,1.00,"312,002,000.00",0.00,,
Radio S,"630,000,000.00","318,600,000.00","311,400,000.00",49.43,1.00,"311,400,000.00",0.00,,
Microwave S,"444,444,400.00","138,120,000.00","306,324,400.00",68.92,1.00,"306,324,400.00",33.33,,
Infrared S,"773,000,000.00","466,969,700.00","306,030,300.00",39.59,1.00,"306,030,300.00",0.00,,
Standard S,"300,000,000.00",0.00,"300,000,000.00",100.00,1.00,"300,000,000.00",0.00,,
Ultraviolet S,"300,000,000.00",0.00,"300,000,000.00",100.00,1.00,"300,000,000.00",0.00,,
Xray S,"300,000,000.00",0.00,"300,000,000.00",100.00,1.00,"300,000,000.00",0.00,,
Gamma S,"300,000,000.00",0.00,"300,000,000.00",100.00,1.00,"300,000,000.00",0.00,,
Multifrequency S,"1,600,000,000.00","1,300,983,000.00","299,017,100.00",18.69,1.00,"299,017,100.00",0.00,,
Radio M,"1,697,995,000.00","1,400,000,000.00","297,995,000.00",17.55,1.00,"297,995,000.00",0.00,,
Microwave M,"295,000,000.00",0.00,"295,000,000.00",100.00,1.00,"295,000,000.00",16.67,,
Infrared M,"490,000,000.00","198,000,000.00","292,000,000.00",59.59,1.00,"292,000,000.00",0.00,,
Standard M,"494,999,000.00","204,000,000.00","290,999,000.00",58.79,1.00,"290,999,000.00",0.00,,
Ultraviolet M,"1,695,999,000.00","1,408,000,000.00","287,999,000.00",16.98,1.00,"287,999,000.00",0.00,,
Xray M,"35,874,400.00",0.00,"35,874,400.00",100.00,8.00,"286,995,200.00",19.40,,
Gamma M,"999,965,000.00","713,000,000.00","286,965,000.00",28.70,1.00,"286,965,000.00",0.00,,
Multifrequency M,"577,777,800.00","294,900,000.00","282,877,800.00",48.96,1.00,"282,877,800.00",33.33,,
Radio L,"349,900,000.00","73,999,980.00","275,900,000.00",78.85,1.00,"275,900,000.00",0.00,,
Microwave L,"19,954,790.00","6,499,899.00","13,454,890.00",67.43,20.00,"269,097,700.00",0.00,,
Infrared L,"699,000,000.00","432,222,200.00","266,777,800.00",38.17,1.00,"266,777,800.00",0.00,,
Standard L,"500,000,000.00","240,000,000.00","260,000,000.00",52.00,1.00,"260,000,000.00",0.00,,
Ultraviolet L,"600,000,000.00","340,000,300.00","259,999,700.00",43.33,1.00,"259,999,700.00",0.00,,
Xray L,"595,000,000.00","337,000,000.00","258,000,000.00",43.36,1.00,"258,000,000.00",0.00,,
Gamma L,"299,777,800.00","41,994,000.00","257,783,800.00",85.99,1.00,"257,783,800.00",25.00,,
Multifrequency L,"588,030,000.00","333,500,000.00","254,530,000.00",43.29,1.00,"254,530,000.00",0.00,,
Cap Booster 25,"749,900,000.00","495,598,000.00","254,302,000.00",33.91,1.00,"254,302,000.00",0.00,,
Cap Booster 50,"566,000,000.00","312,238,700.00","253,761,300.00",44.83,1.00,"253,761,300.00",50.00,,
Scourge Rocket,"595,000,000.00","346,994,000.00","248,006,000.00",41.68,1.00,"248,006,000.00",0.00,,
Scourge Torpedo,"394,000,000.00","150,000,000.00","244,000,000.00",61.93,1.00,"244,000,000.00",0.00,,
Mjolnir Auto-Targeting Light Missile I,"450,000,000.00","208,000,000.00","242,000,000.00",53.78,1.00,"242,000,000.00",0.00,,
Small Shield Extender I,"498,000,000.00","270,017,000.00","227,983,000.00",45.78,1.00,"227,983,000.00",0.00,,
Small Shield Extender II,"588,000,000.00","360,999,900.00","227,000,100.00",38.61,1.00,"227,000,100.00",0.00,,
Shield Recharger I,"2,000,000.00","790,000.00","1,210,000.00",60.50,185.00,"223,850,000.00",0.00,,
Shield Recharger II,"319,590,000.00","98,989,900.00","220,600,100.00",69.03,1.00,"220,600,100.00",0.00,,
Small Shield Booster I,"220,000.00","74,999.95","145,000.00",65.91,"1,500.00","217,500,000.00",7.14,,
Small Shield Booster II,"218,000,000.00","844,000.00","217,156,000.00",99.61,1.00,"217,156,000.00",0.00,,
'Micro' Remote Shield Booster,"750,000,000.00","535,000,000.00","215,000,000.00",28.67,1.00,"215,000,000.00",0.00,,
'Basic' Capacitor Recharger,"490,000,000.00","275,000,000.00","215,000,000.00",43.88,1.00,"215,000,000.00",50.00,,
5MN Microwarpdrive I,"22,000,000.00","4,166,999.00","17,833,000.00",81.06,12.00,"213,996,000.00",31.15,,
1MN Afterburner II,"1,240,000,000.00","1,026,999,000.00","213,001,000.00",17.18,1.00,"213,001,000.00",0.00,,
1MN Afterburner I,"280,000,000.00","67,899,970.00","212,100,000.00",75.75,1.00,"212,100,000.00",0.00,,
5MN Microwarpdrive II,"510,000,000.00","299,500,000.00","210,500,000.00",41.27,1.00,"210,500,000.00",0.00,,
Cargo Scanner I,"299,990,000.00","194,969,800.00","105,020,300.00",35.01,2.00,"210,040,500.00",10.00,,
Ship Scanner I,"300,000,000.00","90,000,000.00","210,000,000.00",70.00,1.00,"210,000,000.00",0.00,,
Survey Scanner I,"320,000,000.00","115,998,000.00","204,002,000.00",63.75,1.00,"204,002,000.00",0.00,,
Warp Scrambler I,"458,500,000.00","357,000,000.00","101,500,000.00",22.14,2.00,"203,000,000.00",20.00,,
Warp Scrambler II,"148,000,000.00","46,997,970.00","101,002,000.00",68.24,2.00,"202,004,100.00",0.00,,
Gatling Pulse Laser I,"279,000,000.00","76,999,970.00","202,000,000.00",72.40,1.00,"202,000,000.00",0.00,,
Dual Light Pulse Laser I,"300,000,000.00","99,888,870.00","200,111,100.00",66.70,1.00,"200,111,100.00",33.33,,
Dual Light Beam Laser I,"780,000,000.00","580,000,000.00","200,000,000.00",25.64,1.00,"200,000,000.00",0.00,,
Small Focused Pulse Laser I,"400,000,000.00","200,000,000.00","200,000,000.00",50.00,1.00,"200,000,000.00",0.00,,
Small Focused Beam Laser I,"674,990,000.00","475,000,000.00","199,990,000.00",29.63,1.00,"199,990,000.00",50.00,,
Quad Light Beam Laser I,"105,000,000.00","39,000,000.00","66,000,000.00",62.86,3.00,"198,000,000.00",0.00,,
Focused Medium Pulse Laser I,"87,700,000.00","22,322,000.00","65,378,000.00",74.55,3.00,"196,134,000.00",54.55,,
Focused Medium Beam Laser I,"304,998,800.00","239,899,000.00","65,099,820.00",21.34,3.00,"195,299,500.00",16.67,,
Heavy Pulse Laser I,"250,000,000.00","55,000,000.00","195,000,000.00",78.00,1.00,"195,000,000.00",0.00,,
Heavy Beam Laser I,"410,000,000.00","313,210,300.00","96,789,700.00",23.61,2.00,"193,579,400.00",0.00,,
Dual Heavy Pulse Laser I,"997,700,000.00","805,000,000.00","192,700,000.00",19.31,1.00,"192,700,000.00",0.00,,
Dual Heavy Beam Laser I,"1,999,900,000.00","1,808,191,000.00","191,709,300.00",9.59,1.00,"191,709,300.00",0.00,,
Mega Pulse Laser I,"349,000,000.00","157,949,000.00","191,051,000.00",54.74,1.00,"191,051,000.00",0.00,,
Mega Beam Laser I,"350,000,000.00","159,882,800.00","190,117,200.00",54.32,1.00,"190,117,200.00",25.00,,
Tachyon Beam Laser I,"390,000,000.00","200,000,000.00","190,000,000.00",48.72,1.00,"190,000,000.00",50.00,,
Miner II,"200,000,000.00","10,000,000.00","190,000,000.00",95.00,1.00,"190,000,000.00",0.00,,
Miner I,"498,000,000.00","308,020,900.00","189,979,100.00",38.15,1.00,"189,979,100.00",0.00,,
125mm Gatling AutoCannon I,"338,000,000.00","150,988,600.00","187,011,400.00",55.33,1.00,"187,011,400.00",0.00,,
150mm Light AutoCannon I,"148,000,000.00","55,000,000.00","93,000,000.00",62.84,2.00,"186,000,000.00",0.00,,
200mm AutoCannon I,"280,000,000.00","95,000,000.00","185,000,000.00",66.07,1.00,"185,000,000.00",0.00,,
250mm Light Artillery Cannon I,"884,887,000.00","700,989,900.00","183,897,100.00",20.78,1.00,"183,897,100.00",50.00,,
280mm Howitzer Artillery I,"250,000,000.00","67,999,000.00","182,001,000.00",72.80,1.00,"182,001,000.00",0.00,,
Dual 180mm AutoCannon I,"182,000,000.00",0.00,"182,000,000.00",100.00,1.00,"182,000,000.00",0.00,,
220mm Vulcan AutoCannon I,"390,000,000.00","299,020,500.00","90,979,460.00",23.33,2.00,"181,958,900.00",0.00,,
425mm AutoCannon I,"1,679,000,000.00","1,500,000,000.00","178,999,900.00",10.66,1.00,"178,999,900.00",0.00,,
650mm Artillery Cannon I,"180,000,000.00","1,199,899.00","178,800,100.00",99.33,1.00,"178,800,100.00",0.00,,
720mm Howitzer Artillery I,"22,047,340.00","4,200,000.00","17,847,340.00",80.95,10.00,"178,473,400.00",48.00,,
Dual 425mm AutoCannon I,"1,520,000.00","1,470,566.00","49,433.75",3.25,"3,607.00","178,307,500.00",0.00,,
Dual 650mm Repeating Cannon I,"588,111,100.00","410,000,000.00","178,111,100.00",30.29,1.00,"178,111,100.00",25.00,,
800mm Repeating Cannon I,"220,000,000.00","42,000,110.00","177,999,900.00",80.91,1.00,"177,999,900.00",25.00,,
1200mm Artillery Cannon I,"505,777,700.00","329,000,000.00","176,777,700.00",34.95,1.00,"176,777,700.00",20.00,,
1400mm Howitzer Artillery I,"41,970,000.00","30,190,000.00","11,780,000.00",28.07,15.00,"176,700,000.00",22.91,,
Light Missile Launcher I,"666,666,700.00","490,000,000.00","176,666,700.00",26.50,1.00,"176,666,700.00",0.00,,
Heavy Missile Launcher I,"298,990.50","88,998.54","209,992.00",70.23,832.00,"174,713,300.00",3.13,,
Torpedo Launcher I,"176,000,000.00","117,997,500.00","58,002,540.00",32.96,3.00,"174,007,600.00",48.00,,
'Basic' Capacitor Power Relay,"249,000,000.00","74,999,980.00","174,000,000.00",69.88,1.00,"174,000,000.00",0.00,,
'Basic' Shield Flux Coil,"154,000,000.00","67,199,900.00","86,800,100.00",56.36,2.00,"173,600,200.00",0.00,,
'Basic' Capacitor Flux Coil,"250,000,000.00","77,333,380.00","172,666,600.00",69.07,1.00,"172,666,600.00",0.00,,
'Basic' Gyrostabilizer,"452,000,000.00","280,000,000.00","172,000,000.00",38.05,1.00,"172,000,000.00",0.00,,
Gyrostabilizer II,"390,000,000.00","218,998,000.00","171,002,000.00",43.85,1.00,"171,002,000.00",0.00,,
Gyrostabilizer I,"421,000,000.00","250,000,000.00","171,000,000.00",40.62,1.00,"171,000,000.00",0.00,,
'Basic' Damage Control,"170,000,000.00",0.00,"170,000,000.00",100.00,1.00,"170,000,000.00",0.00,,
'Micro' Cap Battery,"377,777,800.00","210,000,000.00","167,777,800.00",44.41,1.00,"167,777,800.00",33.33,,
Small Armor Repairer I,"175,000,000.00","9,200,000.00","165,800,000.00",94.74,1.00,"165,800,000.00",0.00,,
Small Hull Repairer I,"250,000,000.00","84,997,000.00","165,003,000.00",66.00,1.00,"165,003,000.00",0.00,,
Stasis Webifier I,"475,000,000.00","310,000,000.00","165,000,000.00",34.74,1.00,"165,000,000.00",0.00,,
Stasis Webifier II,"623,434,400.00","459,000,000.00","164,434,400.00",26.38,1.00,"164,434,400.00",0.00,,
Small Remote Capacitor Transmitter I,"494,111,100.00","330,000,000.00","164,111,100.00",33.21,1.00,"164,111,100.00",0.00,,
Small Energy Nosferatu I,"200,000,000.00","37,750,000.00","162,250,000.00",81.13,1.00,"162,250,000.00",0.00,,
Small Energy Neutralizer I,"179,000,000.00","124,960,000.00","54,040,020.00",30.19,3.00,"162,120,000.00",0.00,,
75mm Gatling Rail I,"29,958,490.00","13,750,000.00","16,208,490.00",54.10,10.00,"162,084,900.00",0.00,,
Light Electron Blaster I,"652,000,000.00","489,995,100.00","162,004,900.00",24.85,1.00,"162,004,900.00",0.00,,
Light Ion Blaster I,"495,000,000.00","332,999,000.00","162,001,000.00",32.73,1.00,"162,001,000.00",0.00,,
Light Neutron Blaster I,"400,000,000.00","239,000,000.00","161,000,000.00",40.25,1.00,"161,000,000.00",0.00,,
150mm Railgun I,"200,000,000.00","39,999,960.00","160,000,000.00",80.00,1.00,"160,000,000.00",0.00,,
Heavy Electron Blaster I,"268,997,800.00","109,000,000.00","159,997,700.00",59.48,1.00,"159,997,700.00",40.00,,
Dual 150mm Railgun I,"345,000,000.00","185,004,000.00","159,996,000.00",46.38,1.00,"159,996,000.00",0.00,,
Heavy Neutron Blaster I,"369,000,000.00","210,000,000.00","159,000,000.00",43.09,1.00,"159,000,000.00",0.00,,
Heavy Ion Blaster I,"110,000,000.00","30,789,000.00","79,211,000.00",72.01,2.00,"158,422,000.00",0.00,,
250mm Railgun I,"949,999,000.00","791,609,000.00","158,390,000.00",16.67,1.00,"158,390,000.00",0.00,,
Electron Blaster Cannon I,"158,000,000.00",0.00,"158,000,000.00",100.00,1.00,"158,000,000.00",0.00,,
Dual 250mm Railgun I,"158,000,000.00",0.00,"158,000,000.00",100.00,1.00,"158,000,000.00",0.00,,
Neutron Blaster Cannon I,"299,000,000.00","143,900,000.00","155,100,000.00",51.87,1.00,"155,100,000.00",0.00,,
425mm Railgun I,"295,666,700.00","141,000,000.00","154,666,700.00",52.31,1.00,"154,666,700.00",75.00,,
Ion Blaster Cannon I,"165,245,700.00","11,000,000.00","154,245,700.00",93.34,1.00,"154,245,700.00",0.00,,
Medium Capacitor Booster I,"880,000,000.00","726,550,000.00","153,450,000.00",17.44,1.00,"153,450,000.00",0.00,,
Adaptive Invulnerability Field I,"32,000,000.00","15,000,000.00","17,000,000.00",53.13,9.00,"153,000,000.00",85.19,,
Burst Jammer I,"264,999,000.00","112,000,000.00","152,999,000.00",57.74,1.00,"152,999,000.00",0.00,,
Passive Targeter I,"227,777,800.00","75,000,000.00","152,777,800.00",67.07,1.00,"152,777,800.00",50.00,,
Bantam,"210,000,000.00","57,999,000.00","152,001,000.00",72.38,1.00,"152,001,000.00",0.00,,
Condor,"252,000,000.00","99,999,900.00","152,000,100.00",60.32,1.00,"152,000,100.00",33.33,,
Griffin,"152,982,000.00","77,000,000.00","75,982,000.00",49.67,2.00,"151,964,000.00",78.72,,
Slasher,"244,444,400.00","92,723,100.00","151,721,300.00",62.07,1.00,"151,721,300.00",46.67,,
Probe,"250,000,000.00","98,909,860.00","151,090,100.00",60.44,1.00,"151,090,100.00",0.00,,
Rifter,"345,000,000.00","194,000,000.00","151,000,000.00",43.77,1.00,"151,000,000.00",0.00,,
Reaper,"260,000,000.00","109,849,700.00","150,150,300.00",57.75,1.00,"150,150,300.00",16.67,,
Executioner,"500,000,000.00","349,956,700.00","150,043,300.00",30.01,1.00,"150,043,300.00",0.00,,
Inquisitor,"150,000,000.00",0.00,"150,000,000.00",100.00,1.00,"150,000,000.00",0.00,,
Tormentor,"350,000,000.00","200,255,900.00","149,744,100.00",42.78,1.00,"149,744,100.00",14.29,,
Navitas,"259,664,800.00","110,000,000.00","149,664,800.00",57.64,1.00,"149,664,800.00",0.00,,
Tristan,"97,970,000.00","48,500,000.00","49,470,000.00",50.50,3.00,"148,410,000.00",0.00,,
Incursus,"1,078,000,000.00","929,960,000.00","148,040,000.00",13.73,1.00,"148,040,000.00",25.00,,
Impairor,"300,000,000.00","153,000,000.00","147,000,000.00",49.00,1.00,"147,000,000.00",25.00,,
Punisher,"1,450,000,000.00","1,304,189,000.00","145,810,900.00",10.06,1.00,"145,810,900.00",0.00,,
Breacher,"450,000,000.00","304,503,200.00","145,496,800.00",32.33,1.00,"145,496,800.00",0.00,,
Burst,"200,000,000.00","55,000,000.00","145,000,000.00",72.50,1.00,"145,000,000.00",0.00,,
Ibis,"199,967,000.00","193,440,000.00","6,526,992.00",3.26,22.00,"143,593,800.00",21.86,,
Kestrel,"700,000,000.00","556,993,500.00","143,006,500.00",20.43,1.00,"143,006,500.00",0.00,,
Merlin,"500,000,000.00","358,500,000.00","141,500,000.00",28.30,1.00,"141,500,000.00",0.00,,
Heron,"249,999,000.00","109,040,400.00","140,958,600.00",56.38,1.00,"140,958,600.00",0.00,,
Velator,"299,960,000.00","159,690,000.00","140,270,000.00",46.76,1.00,"140,270,000.00",9.52,,
Imicus,"535,000,000.00","394,973,100.00","140,026,900.00",26.17,1.00,"140,026,900.00",0.00,,
Atron,"100,000,000.00","64,999,990.00","35,000,010.00",35.00,4.00,"140,000,000.00",0.00,,
Maulus,"35,963,680.00","8,000,000.00","27,963,680.00",77.76,5.00,"139,818,400.00",0.00,,
Immolator,"125,000,000.00","78,500,000.00","46,500,000.00",37.20,3.00,"139,500,000.00",0.00,,
Echo,"280,000,000.00","141,000,100.00","138,999,900.00",49.64,1.00,"138,999,900.00",0.00,,
Osprey,"70,000,000.00","598,988.00","69,401,010.00",99.14,2.00,"138,802,000.00",0.00,,
Caracal,"199,888,900.00","62,949,990.00","136,938,900.00",68.51,1.00,"136,938,900.00",50.00,,
Stabber,"29,000,000.00","1,990,000.00","27,010,000.00",93.14,5.00,"135,050,000.00",0.00,,
Moa,"1,099,900,000.00","964,900,000.00","135,000,100.00",12.27,1.00,"135,000,100.00",0.00,,
Maller,"325,000,000.00","189,999,900.00","135,000,100.00",41.54,1.00,"135,000,100.00",0.00,,
Augoror,"320,000,000.00","185,000,000.00","135,000,000.00",42.19,1.00,"135,000,000.00",0.00,,
Vexor,"200,000,000.00","65,555,560.00","134,444,400.00",67.22,1.00,"134,444,400.00",0.00,,
Thorax,"249,000,000.00","114,999,400.00","134,000,600.00",53.82,1.00,"134,000,600.00",25.00,,
Arbitrator,"200,000,000.00","68,000,000.00","132,000,000.00",66.00,1.00,"132,000,000.00",0.00,,
Rupture,"195,000,000.00","63,284,990.00","131,715,000.00",67.55,1.00,"131,715,000.00",0.00,,
Bellicose,"630,000,000.00","498,890,100.00","131,109,900.00",20.81,1.00,"131,109,900.00",33.33,,
Scythe,"395,000,000.00","264,989,000.00","130,011,000.00",32.91,1.00,"130,011,000.00",0.00,,
Blackbird,"344,750,100.00","214,999,000.00","129,751,100.00",37.64,1.00,"129,751,100.00",0.00,,
Celestis,"246,111,100.00","116,697,000.00","129,414,100.00",52.58,1.00,"129,414,100.00",0.00,,
Exequror,"150,000,000.00","21,000,000.00","129,000,000.00",86.00,1.00,"129,000,000.00",0.00,,
Opux Luxury Yacht,"750,000,000.00","623,500,000.00","126,500,000.00",16.87,1.00,"126,500,000.00",50.00,,
Raven,"198,000,000.00","71,700,000.00","126,300,000.00",63.79,1.00,"126,300,000.00",42.86,,
Tempest,"89,100.21","15,443.99","73,656.22",82.67,"1,709.00","125,878,500.00",3.05,,
Scorpion,"240,000,000.00","177,500,000.00","62,499,980.00",26.04,2.00,"125,000,000.00",0.00,,
Megathron,"260,000,000.00","135,524,000.00","124,476,000.00",47.88,1.00,"124,476,000.00",0.00,,
Apocalypse,"270,000.00","158,966.90","111,033.10",41.12,"1,112.00","123,468,800.00",9.64,,
Armageddon,"98,999,660.00","57,996,640.00","41,003,020.00",41.42,3.00,"123,009,100.00",12.50,,
