ItemName,Region,BaseRegion,AveragePrice,BaseAveragePrice,Difference,ProfitMargin,Volume,BaseVolume,AverageVolumeProfitMarginPotential,PotentialDailyProfit
Inferno Heavy Missile,Metropolis,Jita,39.99,49.51,9.519997,19.22843,33984,388408,4060968,3697643
Scourge Heavy Missile,Metropolis,Jita,59.59,48.36,11.23,18.84544,235967,1253282,1.403277E+07,1.407436E+07
Scourge Light Missile,Metropolis,Jita,8.43,7.01,1.42,16.8446,17193,6815413,5.754627E+07,9677887
Inferno Light Missile,Metropolis,Jita,12.98,8.3,4.679999,36.05547,44349,4908199,8.928322E+07,2.297037E+07
Mjolnir Light Missile,Metropolis,Jita,16.25,24.8,8.549999,34.4758,20249,5535221,9.576465E+07,4.732614E+07
Nova Light Missile,Metropolis,Jita,15,10.88,4.12,27.46667,34576,4532480,6.27209E+07,1.867382E+07
Iron Charge S,Metropolis,Jita,3.92,2.36,1.56,39.79592,5741,1778906,3.551082E+07,2775094
Tungsten Charge S,Metropolis,Jita,6,4.25,1.75,29.16667,200,1604779,2.340593E+07,2808363
Iridium Charge S,Metropolis,Jita,6.99,6.54,0.4499998,6.437766,601,1015072,3269329,456782.2
Lead Charge S,Metropolis,Jita,3.5,2.61,0.8900001,25.42857,4200,215757,2796584,192023.8
Thorium Charge S,Metropolis,Jita,10,19.87,9.870001,49.67287,286100,854436,2.832685E+07,8433284
Uranium Charge S,Metropolis,Jita,10,7,3,30,1100,259141,3903600,777423
Plutonium Charge S,Metropolis,Jita,1.15,10.25,9.1,88.78049,200,286339,1.271949E+07,2605685
Antimatter Charge S,Metropolis,Jita,16.93,16.98,0.04999924,0.2944596,145278,7273493,1092264,363669.1
Iron Charge M,Metropolis,Jita,9.99,16.29,6.300001,38.67404,2000,520049,1.009485E+07,3276309
Tungsten Charge M,Metropolis,Jita,34.99,38.32,3.329998,8.689974,1000,47631,211296.7,158611.1
Iridium Charge M,Metropolis,Jita,20,49.85,29.85,59.87964,50567,841505,2.670847E+07,2.511892E+07
Lead Charge M,Metropolis,Jita,127,29.6,97.4,76.69292,1202,1832676,7.032273E+07,1.785026E+08
Thorium Charge M,Metropolis,Jita,40,47.91,7.91,16.51012,2000,1107208,9156580,8758015
Uranium Charge M,Metropolis,Jita,190,26,164,86.31579,1132,70569,3094421,1.157332E+07
Plutonium Charge M,Metropolis,Jita,2,28.5,26.5,92.98245,78,136231,6337126,3610122
Antimatter Charge M,Metropolis,Jita,54.89,49,5.889999,10.73055,16049,1742890,9437187,1.026562E+07
Iron Charge L,Metropolis,Jita,27.99,6,21.99,78.56377,15400,135071,5910746,2970211
Tungsten Charge L,Metropolis,Jita,50,64.93,14.93,22.99399,10000,302690,3594996,4519162
Iridium Charge L,Metropolis,Jita,5,23.92,18.92,79.09699,200,61300,2432233,1159796
Lead Charge L,Metropolis,Jita,4.09,19.11,15.02,78.5976,174,51731,2039765,776999.6
Thorium Charge L,Metropolis,Jita,149.87,60.9,88.96999,59.36478,10000,36723,1386821,3267245
Uranium Charge L,Metropolis,Jita,179.98,50.45,129.53,71.96911,10100,15990,938837,2071185
Plutonium Charge L,Metropolis,Jita,51.25,42.12,9.130001,17.81464,200,16990,153116.8,155118.7
Antimatter Charge L,Metropolis,Jita,138.99,140.94,1.949997,1.383565,15000,819956,577608.1,1598912
Radio S,Metropolis,Jita,963.24,507.27,455.97,47.33711,27,226,5964.476,103049.2
Microwave S,Metropolis,Jita,1.11,1395.69,1394.58,99.92047,8,264,13589.18,368169.1
Infrared S,Metropolis,Jita,1.01,110.33,109.32,99.08456,3,234,11691.98,25580.88
Standard S,Metropolis,Jita,10.15,1480,1469.85,99.31419,1,540,26814.83,793719
Ultraviolet S,Metropolis,Jita,0.99,499.84,498.85,99.80194,2,402,20159.99,200537.7
Xray S,Metropolis,Jita,857.39,1923.5,1066.11,55.42553,21,265,7925.85,282519.2
Gamma S,Metropolis,Jita,2750,507.09,2242.91,81.56036,2,146,6035.467,327464.8
Multifrequency S,Metropolis,Jita,5833.5,1999,3834.5,65.73241,18,1800,59750.76,6902100
Radio M,Metropolis,Jita,9871.43,79998.9,70127.47,87.66055,7,244,10957.57,1.71111E+07
Microwave M,Metropolis,Jita,4687.88,3499.99,1187.89,25.3396,8,1441,18345.87,1711749
Infrared M,Metropolis,Jita,10.03,282.86,272.83,96.45408,1,151,7330.51,41197.33
Standard M,Metropolis,Jita,5.04,2899.97,2894.93,99.8262,6,6651,332221.6,1.925418E+07
Ultraviolet M,Metropolis,Jita,10000,380.5,9619.5,96.195,6,139,6926.04,1337111
Xray M,Metropolis,Jita,7.5,3769.76,3762.26,99.80105,1,1602,79940.64,6027141
Gamma M,Metropolis,Jita,277.36,751.07,473.71,63.07135,1,179,5676.422,84794.09
Multifrequency M,Metropolis,Jita,2500,5520.64,3020.64,54.7154,1,3184,87106.91,9617718
Radio L,Metropolis,Jita,130423.7,16099.87,114323.8,87.65572,6,1349,59342.92,1.542228E+08
Microwave L,Metropolis,Jita,126833.4,10000.4,116833,92.11533,6,130,6263.842,1.518828E+07
Infrared L,Metropolis,Jita,500,5002.64,4502.64,90.00528,1,150,6750.396,675396
Standard L,Metropolis,Jita,112833.3,11004.99,101828.3,90.24668,6,1647,74543.76,1.677112E+08
Ultraviolet L,Metropolis,Jita,2000.1,11300,9299.9,82.3,2,303,12509.6,2817870
Xray L,Metropolis,Jita,2500.73,9040.5,6539.77,72.33858,3,162,5931.764,1059443
Gamma L,Metropolis,Jita,500.01,12604.51,12104.5,96.03309,4,161,7874.713,1948825
Multifrequency L,Metropolis,Jita,320000,12000.2,307999.8,96.24994,4,265,12897.49,8.161995E+07
Cap Booster 25,Metropolis,Jita,340.98,170.92,170.06,49.87389,110,15436,387669.8,2625046
Cap Booster 50,Metropolis,Jita,540,364.99,175.01,32.40926,74,1097,18959.42,191986
Scourge Rocket,Metropolis,Jita,4.95,4.73,0.2199998,4.44444,2645,647613,1445017,142474.7
Scourge Torpedo,Metropolis,Jita,1,180,179,99.44444,7175,708631,3.559146E+07,1.26845E+08
Mjolnir Auto-Targeting Light Missile I,Metropolis,Jita,1,17.25,16.25,94.2029,183,110192,5198775,1790620
Small Shield Extender I,Metropolis,Jita,23949.19,8101.31,15847.88,66.17292,25,1195,40365.48,1.893822E+07
Small Shield Extender II,Metropolis,Jita,441435.2,387995,53440.22,12.10602,21,1616,9902.722,8.635939E+07
Shield Recharger I,Metropolis,Jita,136699.8,8954.04,127745.8,93.44985,30,20,2336.246,3832373
Shield Recharger II,Metropolis,Jita,3.754512E+07,217899.5,3.732722E+07,99.41963,8,135,7058.794,5.039175E+09
Small Shield Booster I,Metropolis,Jita,13833.33,10742.09,3091.24,22.34632,3,77,893.8528,238025.5
Small Shield Booster II,Metropolis,Jita,365023.6,349963,15060.63,4.125932,75,165,495.1118,2485003
'Basic' Capacitor Recharger,Metropolis,Jita,1.7999E+07,403456.3,1.759554E+07,97.75845,1,8,391.0338,1.407644E+08
5MN Microwarpdrive I,Metropolis,Jita,39325.97,38999.96,326.0078,0.8289886,25,1910,801.632,622674.9
1MN Afterburner II,Metropolis,Jita,3488412,2724995,763416.8,21.88437,31,616,7068.65,4.702647E+08
1MN Afterburner I,Metropolis,Jita,18778.94,7292.84,11486.1,61.16479,41,379,12844.61,4353232
5MN Microwarpdrive II,Metropolis,Jita,4044777,4010856,33920.75,0.8386309,18,796,341.3228,2.700092E+07
Cargo Scanner I,Metropolis,Jita,72390.38,5499.92,66890.46,92.40241,18,600,28552.35,4.013428E+07
Ship Scanner I,Metropolis,Jita,140000,5350.49,134649.5,96.17822,1,8,384.7129,1077196
Survey Scanner I,Metropolis,Jita,15539.04,7994.69,7544.35,48.55094,13,571,14176.88,4307824
Warp Scrambler I,Metropolis,Jita,19989.8,36809.26,16819.46,45.69356,5,3753,85858.2,6.312344E+07
Warp Scrambler II,Metropolis,Jita,1759964,1545800,214163.9,12.16865,33,1996,12339.01,4.274711E+08
Gatling Pulse Laser I,Metropolis,Jita,19000,9409.61,9590.39,50.47573,2,39,1009.515,374025.2
Dual Light Pulse Laser I,Metropolis,Jita,33333.33,36955.87,3622.543,9.802348,3,87,441.1057,315161.3
Dual Light Beam Laser I,Metropolis,Jita,21000.02,14908.97,6091.05,29.00497,1,227,3306.567,1382668
Small Focused Pulse Laser I,Metropolis,Jita,24999,2500.07,22498.93,89.99932,3,316,14309.89,7109662
Small Focused Beam Laser I,Metropolis,Jita,177,5000.25,4823.25,96.46017,1,1482,71476.99,7148057
Quad Light Beam Laser I,Metropolis,Jita,89999.99,36316.85,53683.14,59.64794,5,7,357.8876,375782
Focused Medium Pulse Laser I,Metropolis,Jita,189500,145900,43600.03,23.00793,6,186,2208.761,8109606
Focused Medium Beam Laser I,Metropolis,Jita,733750,222816.2,510933.8,69.63323,4,49,1810.464,2.503576E+07
Heavy Pulse Laser I,Metropolis,Jita,450000,117100,332900,73.97778,4,20,887.7333,6658000
Heavy Beam Laser I,Metropolis,Jita,587999,161953.1,426045.9,72.45692,1,11,434.7415,4686506
Dual Heavy Pulse Laser I,Metropolis,Jita,1,125015,125014,99.9992,2,20,1099.991,2500280
Dual Heavy Beam Laser I,Metropolis,Jita,1200000,858331.3,341668.7,28.47239,1,24,341.6687,8200049
Mega Pulse Laser I,Metropolis,Jita,25001,1090999,1065998,97.70843,6,27,1563.335,2.878194E+07
Mega Beam Laser I,Metropolis,Jita,500000,551024,51024,9.259851,74,16,416.6933,3775776
Tachyon Beam Laser I,Metropolis,Jita,24000,1529024,1505024,98.43037,1,137,6791.696,2.061883E+08
Miner II,Metropolis,Jita,1012035,645775,366260.3,36.19047,28,465,8902.855,1.70311E+08
Miner I,Metropolis,Jita,13195.91,8000,5195.91,39.37516,10,250,5118.771,1298978
125mm Gatling AutoCannon I,Metropolis,Jita,5448.64,3798.9,1649.74,30.27802,30,468,7539.226,772078.4
150mm Light AutoCannon I,Metropolis,Jita,7499.85,38897.97,31398.12,80.71918,1,2166,87418.87,6.800833E+07
200mm AutoCannon I,Metropolis,Jita,16229.78,15299.68,930.1006,5.730827,24,947,2779.451,880805.3
250mm Light Artillery Cannon I,Metropolis,Jita,23451.18,8741.6,14709.58,62.72427,13,56,2132.625,823736.5
280mm Howitzer Artillery I,Metropolis,Jita,43453.99,29999.99,13454,30.96148,12,330,5294.413,4439820
Dual 180mm AutoCannon I,Metropolis,Jita,38749.91,12000,26749.91,69.03219,19,3,759.3541,508248.3
220mm Vulcan AutoCannon I,Metropolis,Jita,125000,118031.9,6968.109,5.574488,86,45,362.3417,599257.4
425mm AutoCannon I,Metropolis,Jita,70000,12500.5,57499.5,82.14214,10,4,574.995,574995
650mm Artillery Cannon I,Metropolis,Jita,246417.5,209050.1,37367.42,15.16427,8,17,181.9713,635246.2
720mm Howitzer Artillery I,Metropolis,Jita,274995,497999,223004,44.78001,4,262,5955.742,5.842706E+07
Dual 425mm AutoCannon I,Metropolis,Jita,247000,253999,6999,2.755523,4,3,8.266568,27996
Dual 650mm Repeating Cannon I,Metropolis,Jita,880000,150000,730000,82.95454,3,6,331.8182,4380000
800mm Repeating Cannon I,Metropolis,Jita,1250000,1200000,50000,4,8,77,168,3850000
1200mm Artillery Cannon I,Metropolis,Jita,1200000,654544.8,545455.2,45.4546,4,11,318.1822,6000007
1400mm Howitzer Artillery I,Metropolis,Jita,2250000,1411764,838235.6,37.25492,2,17,335.2943,1.425001E+07
Light Missile Launcher I,Metropolis,Jita,9765.24,9600,165.2402,1.692127,39,1407,1223.408,232493
Heavy Missile Launcher I,Metropolis,Jita,42000,30018.51,11981.49,28.52736,2,99,1426.368,1186168
Torpedo Launcher I,Metropolis,Jita,74994.97,29615.02,45379.95,60.51066,3,26,847.1492,1179879
'Basic' Capacitor Power Relay,Metropolis,Jita,11000.07,2297950,2286950,99.52131,1,116,5772.236,2.652862E+08
'Basic' Shield Flux Coil,Metropolis,Jita,1.4999E+07,1548152,1.345085E+07,89.6783,1,3,179.3566,4.035254E+07
'Basic' Capacitor Flux Coil,Metropolis,Jita,1.1E+07,2623529,8376471,76.14973,2,7,304.5989,5.86353E+07
'Basic' Gyrostabilizer,Metropolis,Jita,1.479E+07,3973990,1.081601E+07,73.13056,1,1,73.13056,1.081601E+07
Gyrostabilizer II,Metropolis,Jita,888423.4,921999.9,33576.5,3.641703,69,2345,4395.536,7.87369E+07
Gyrostabilizer I,Metropolis,Jita,51232.9,33498.34,17734.56,34.61557,12,60,1246.16,1064074
'Basic' Damage Control,Metropolis,Jita,1.3833E+07,3999000,9834000,71.09087,1,1,71.09087,9834000
'Micro' Cap Battery,Metropolis,Jita,2E+07,4999473,1.500053E+07,75.00263,1,3,150.0053,4.500158E+07
Small Armor Repairer I,Metropolis,Jita,23000,10954.99,12045.01,52.36961,2,1497,39224.84,1.803138E+07
Small Hull Repairer I,Metropolis,Jita,30000.01,151384.5,121384.5,80.18291,1,5,240.5487,606922.4
Stasis Webifier I,Metropolis,Jita,45360,50999.92,5639.922,11.05869,11,2387,13259.37,1.346249E+07
Stasis Webifier II,Metropolis,Jita,1129859,1003996,125862.8,11.13969,23,1227,6962.305,1.544336E+08
Small Remote Capacitor Transmitter I,Metropolis,Jita,60000,9020.24,50979.76,84.96626,1,5,254.8988,254898.8
Small Energy Nosferatu I,Metropolis,Jita,34998.93,20934.52,14064.41,40.18526,2,61,1245.743,857929
Small Energy Neutralizer I,Metropolis,Jita,49999.99,10386.52,39613.47,79.22696,15,52,2614.49,2059900
75mm Gatling Rail I,Metropolis,Jita,100,2499.37,2399.37,95.99899,2,158,7679.919,379100.5
Light Electron Blaster I,Metropolis,Jita,9999.99,3207.94,6792.05,67.92057,39,215,8625.912,1460291
Light Ion Blaster I,Metropolis,Jita,20000,24806.95,4806.949,19.37743,746,3368,39859.38,1.618981E+07
Light Neutron Blaster I,Metropolis,Jita,24742.62,34999.95,10257.33,29.3067,13,1699,25086.54,1.74272E+07
150mm Railgun I,Metropolis,Jita,17690,35998.99,18308.99,50.85973,32,1413,36720.73,2.58706E+07
Heavy Electron Blaster I,Metropolis,Jita,35000,54425.44,19425.44,35.69184,6,18,428.3021,349657.9
Dual 150mm Railgun I,Metropolis,Jita,27409.09,20441.95,6967.141,25.41909,11,31,533.8008,215981.4
Heavy Neutron Blaster I,Metropolis,Jita,259147.1,140502.4,118644.7,45.78276,6,30,824.0896,3559341
Heavy Ion Blaster I,Metropolis,Jita,299997.8,114215.1,185782.7,61.92802,5,26,928.9203,4830350
250mm Railgun I,Metropolis,Jita,250,449894.2,449644.2,99.94444,2,485,24286.5,2.180774E+08
Electron Blaster Cannon I,Metropolis,Jita,750000,400000,350000,46.66667,7,6,280,2450000
Dual 250mm Railgun I,Metropolis,Jita,299995,349925,49929.97,14.26876,4,52,399.5254,2596359
Neutron Blaster Cannon I,Metropolis,Jita,30000,1307857,1277857,97.70617,3,28,1465.593,3.578E+07
425mm Railgun I,Metropolis,Jita,4499400,1100000,3399400,75.5523,5,423,16168.19,1.437946E+09
Ion Blaster Cannon I,Metropolis,Jita,1888888,999902.3,888985.7,47.06397,7,62,1600.175,5.511711E+07
Medium Capacitor Booster I,Metropolis,Jita,150024.9,26933.75,123091.2,82.04715,4,15,738.4243,1846367
Adaptive Invulnerability Field I,Metropolis,Jita,69786.43,50011.12,19775.31,28.3369,26,739,10824.69,1.461395E+07
Burst Jammer I,Metropolis,Jita,65000,39879.93,25120.07,38.64626,1,324,6260.695,8138903
Passive Targeter I,Metropolis,Jita,50000,47524.77,2475.23,4.950461,1,4,9.900922,9900.922
Bantam,Metropolis,Jita,319327.8,202143.5,117184.3,36.69719,1,55,1027.521,6445137
Condor,Metropolis,Jita,217500,275003,57503,20.90995,2,205,2153.725,1.178812E+07
Griffin,Metropolis,Jita,188500.2,234062,45561.81,19.4657,2,104,1031.682,4738429
Slasher,Metropolis,Jita,215927.7,269986.1,54058.38,20.02265,14,144,1581.789,7784406
Probe,Metropolis,Jita,336354.8,324850.1,11504.69,3.420403,27,48,126.5549,552225
Rifter,Metropolis,Jita,290028.6,435955,145926.4,33.47281,12,89,1673.641,1.298745E+07
Reaper,Metropolis,Jita,8889,52965.49,44076.49,83.21738,5,44,1997.217,1939366
Executioner,Metropolis,Jita,320000,166603.4,153396.6,47.93644,2,83,2013.33,1.273192E+07
Inquisitor,Metropolis,Jita,400000,334999.8,65000.25,16.25006,2,54,455.0018,3510014
Tormentor,Metropolis,Jita,437499.2,335807.5,101691.7,23.24386,2,26,325.414,2643984
Navitas,Metropolis,Jita,243416.9,205978.8,37438.11,15.38024,3,52,415.2666,1946782
Tristan,Metropolis,Jita,293035.7,400000,106964.3,26.74107,21,601,8316.473,6.428553E+07
Incursus,Metropolis,Jita,334000,351270.2,17270.22,4.916506,2,59,147.4952,1018943
Impairor,Metropolis,Jita,38041.88,136088.8,98046.94,72.04629,1,41,1512.972,4019925
Punisher,Metropolis,Jita,429647,360000,69647.03,16.21029,1,229,1864.183,1.594917E+07
Breacher,Metropolis,Jita,357500,328760,28740,8.039161,4,372,1511.362,1.069128E+07
Burst,Metropolis,Jita,119169.2,298055.5,178886.4,60.0178,6,18,720.2136,3219955
Ibis,Metropolis,Jita,1,78000,77999,99.99872,2,240,12099.84,1.871976E+07
Kestrel,Metropolis,Jita,328000,265008,62991.97,19.20487,4,193,1882.077,1.215745E+07
Merlin,Metropolis,Jita,241272,300000.1,58728.08,19.57602,10,499,4972.309,2.930531E+07
Heron,Metropolis,Jita,350000,299999.9,50000.09,14.28574,7,298,2171.433,1.490003E+07
Velator,Metropolis,Jita,20000,69442.99,49442.99,71.19939,1,102,3631.169,5043185
Imicus,Metropolis,Jita,366625,299506,67118.97,18.30725,8,97,951.9772,6510540
Atron,Metropolis,Jita,264974.8,265000,25.25,0.009528302,4,374,1.800849,9443.5
Maulus,Metropolis,Jita,250000,249358.4,641.6406,0.2566563,2,24,3.336531,15399.38
Immolator,Metropolis,Jita,5.8E+08,9.35E+08,3.55E+08,37.96791,1,1,37.96791,3.55E+08
Echo,Metropolis,Jita,5E+08,8.499999E+08,3.499999E+08,41.17646,1,1,41.17646,3.499999E+08
Osprey,Metropolis,Jita,5000000,6231829,1231829,19.76673,1,65,652.302,8.006886E+07
Caracal,Metropolis,Jita,3946599,7100500,3153902,44.41802,15,156,3775.531,4.920086E+08
Stabber,Metropolis,Jita,6861500,7271353,409853,5.636544,8,34,118.3674,1.3935E+07
Moa,Metropolis,Jita,7370000,7073280,296720,4.026052,1,62,124.8076,1.839664E+07
Maller,Metropolis,Jita,6879000,7500839,621839,8.290259,1,24,99.48311,1.492414E+07
Augoror,Metropolis,Jita,7342776,5420705,1922071,26.17635,9,34,549.7034,6.535042E+07
Vexor,Metropolis,Jita,6974997,7539419,564422.5,7.486287,4,343,1295.128,1.935969E+08
Thorax,Metropolis,Jita,6693334,7028761,335427,4.772207,3,61,152.7106,2.046105E+07
Arbitrator,Metropolis,Jita,6689998,6044103,645895,9.654636,1,18,86.89172,1.162611E+07
Rupture,Metropolis,Jita,7816667,7437444,379222.5,4.85146,6,36,101.8807,1.365201E+07
Bellicose,Metropolis,Jita,5992498,5769752,222746,3.717081,4,4,14.86832,890984
Scythe,Metropolis,Jita,5201699,5251558,49859,0.9494136,3,29,15.19062,1445911
Blackbird,Metropolis,Jita,7989995,5461387,2528608,31.64718,1,13,221.5303,3.28719E+07
Celestis,Metropolis,Jita,4999998,6190270,1190272,19.22811,1,28,269.1935,3.33276E+07
Exequror,Metropolis,Jita,5618399,6024221,405821.5,6.736498,5,31,121.257,1.258047E+07
Raven,Metropolis,Jita,8.320506E+07,1.179248E+08,3.471974E+07,29.44227,3,73,1118.806,2.534541E+09
Tempest,Metropolis,Jita,1.896599E+08,1.148007E+08,7.485921E+07,39.47023,1,25,513.113,1.87148E+09
Scorpion,Metropolis,Jita,1.08E+08,1.05529E+08,2471008,2.28797,2,6,9.151881,1.482605E+07
Megathron,Metropolis,Jita,1.29889E+08,1.181579E+08,1.173108E+07,9.031619,1,28,126.4427,3.284702E+08
Apocalypse,Metropolis,Jita,1.258E+08,1.106002E+08,1.51998E+07,12.08251,1,4,24.16502,6.07992E+07
Armageddon,Metropolis,Jita,1.17E+08,1.303994E+08,1.339938E+07,10.27564,1,7,41.10258,9.379563E+07
Typhoon,Metropolis,Jita,1.5788E+08,1.214109E+08,3.646913E+07,23.09927,1,23,277.1913,8.3879E+08
Dominix,Metropolis,Jita,1.2745E+08,1.195956E+08,7854440,6.162762,2,55,172.5573,4.319942E+08
Badger,Metropolis,Jita,1599979,561156.6,1038822,64.92725,1,95,3116.508,9.868813E+07
Tayra,Metropolis,Jita,1533330,1058124,475205.5,30.99173,6,79,1301.653,3.754124E+07
Nereus,Metropolis,Jita,933333.3,755437.3,177896.1,19.06029,3,51,514.6279,9072699
Hoarder,Metropolis,Jita,800000,1302605,502604.9,38.5846,1,5,115.7538,2513025
Mammoth,Metropolis,Jita,1277600,754675.1,522924.6,40.93024,15,37,1064.186,1.934821E+07
Wreathe,Metropolis,Jita,371241.9,768714.8,397472.8,51.70615,3,26,723.8861,1.033429E+07
Kryos,Metropolis,Jita,1200000,815790.4,384209.6,32.01746,1,19,320.1746,7299982
Epithal,Metropolis,Jita,818500,774247.3,44252.75,5.406567,4,70,200.043,3097693
Miasmos,Metropolis,Jita,597950.6,787366.6,189416.1,24.05691,2,70,866.0487,1.325912E+07
Iteron Mark V,Metropolis,Jita,1149984,1244772,94788.13,7.614899,9,184,731.0303,1.744102E+07
Caldari Shuttle,Metropolis,Jita,23776.44,9031.76,14744.68,62.01382,25,334,11100.47,4924723
Bantam Blueprint,Metropolis,Jita,4999999,2550000,2449999,48.99998,1,3,97.99997,7349996
Condor Blueprint,Metropolis,Jita,5500000,2150000,3350000,60.90909,1,11,365.4546,3.685E+07
Griffin Blueprint,Metropolis,Jita,5500000,2350000,3150000,57.27273,1,3,114.5455,9450000
Osprey Blueprint,Metropolis,Jita,1.5E+08,8.05E+07,6.95E+07,46.33333,1,3,92.66666,2.085E+08
Caracal Blueprint,Metropolis,Jita,1.5E+08,8.25E+07,6.75E+07,45,1,1,45,6.75E+07
Slasher Blueprint,Metropolis,Jita,2100000,2366667,266666.8,11.26761,1,3,22.53522,800000.3
Probe Blueprint,Metropolis,Jita,2700000,3400000,700000,20.58824,7,5,123.5294,4900000
Rifter Blueprint,Metropolis,Jita,2800000,3980000,1180000,29.64824,1,5,88.94473,5900000
Stabber Blueprint,Metropolis,Jita,8.2E+07,1.2E+08,3.8E+07,31.66667,2,2,63.33333,7.6E+07
Tempest Blueprint,Metropolis,Jita,1.055E+09,1.114E+09,5.9E+07,5.29623,1,1,5.29623,5.9E+07
Miner I Blueprint,Metropolis,Jita,92720,100890.5,8170.508,8.098391,1,7,32.39356,57193.55
