ItemName,Region,BaseRegion,AveragePrice,BaseAveragePrice,Difference,ProfitMargin,Volume,BaseVolume,PotentialDailyProfit
Electron Blaster Cannon I,Metropolis,Jita,750000,400000,350000,46.66667,7,6,2450000
Dual 250mm Railgun I,Metropolis,Jita,299995,349925,49929.97,14.26876,4,52,199719.9
Neutron Blaster Cannon I,Metropolis,Jita,30000,1307857,1277857,97.70617,3,28,3833572
425mm Railgun I,Metropolis,Jita,4499400,1100000,3399400,75.5523,5,423,1.6997E+07
Ion Blaster Cannon I,Metropolis,Jita,1888888,999902.3,888985.7,47.06397,7,62,6222900
Medium Capacitor Booster I,Metropolis,Jita,150024.9,26933.75,123091.2,82.04715,4,15,492364.6
Adaptive Invulnerability Field I,Metropolis,Jita,69786.43,50011.12,19775.31,28.3369,26,739,514158
Burst Jammer I,Metropolis,Jita,65000,39879.93,25120.07,38.64626,1,324,25120.07
Passive Targeter I,Metropolis,Jita,50000,47524.77,2475.23,4.950461,1,4,2475.23
Bantam,Metropolis,Jita,319327.8,202143.5,117184.3,36.69719,1,55,117184.3
Condor,Metropolis,Jita,217500,275003,57503,20.90995,2,205,115006
Griffin,Metropolis,Jita,188500.2,234062,45561.81,19.4657,2,104,91123.63
Slasher,Metropolis,Jita,215927.7,269986.1,54058.38,20.02265,14,144,756817.3
Probe,Metropolis,Jita,336354.8,324850.1,11504.69,3.420403,27,48,310626.6
Rifter,Metropolis,Jita,290028.6,435955,145926.4,33.47281,12,89,1751117
Reaper,Metropolis,Jita,8889,52965.49,44076.49,83.21738,5,44,220382.4
Executioner,Metropolis,Jita,320000,166603.4,153396.6,47.93644,2,83,306793.2
Inquisitor,Metropolis,Jita,400000,334999.8,65000.25,16.25006,2,54,130000.5
Tormentor,Metropolis,Jita,437499.2,335807.5,101691.7,23.24386,2,26,203383.4
Navitas,Metropolis,Jita,243416.9,205978.8,37438.11,15.38024,3,52,112314.3
Tristan,Metropolis,Jita,293035.7,400000,106964.3,26.74107,21,601,2246250
Incursus,Metropolis,Jita,334000,351270.2,17270.22,4.916506,2,59,34540.44
Impairor,Metropolis,Jita,38041.88,136088.8,98046.94,72.04629,1,41,98046.94
Punisher,Metropolis,Jita,429647,360000,69647.03,16.21029,1,229,69647.03
Breacher,Metropolis,Jita,357500,328760,28740,8.039161,4,372,114960
Burst,Metropolis,Jita,119169.2,298055.5,178886.4,60.0178,6,18,1073318
Ibis,Metropolis,Jita,1,78000,77999,99.99872,2,240,155998
Kestrel,Metropolis,Jita,328000,265008,62991.97,19.20487,4,193,251967.9
Merlin,Metropolis,Jita,241272,300000.1,58728.08,19.57602,10,499,587280.8
Heron,Metropolis,Jita,350000,299999.9,50000.09,14.28574,7,298,350000.7
Velator,Metropolis,Jita,20000,69442.99,49442.99,71.19939,1,102,49442.99
Imicus,Metropolis,Jita,366625,299506,67118.97,18.30725,8,97,536951.8
Atron,Metropolis,Jita,264974.8,265000,25.25,0.009528302,4,374,101
Maulus,Metropolis,Jita,250000,249358.4,641.6406,0.2566563,2,24,1283.281
Immolator,Metropolis,Jita,5.8E+08,9.35E+08,3.55E+08,37.96791,1,1,3.55E+08
Echo,Metropolis,Jita,5E+08,8.499999E+08,3.499999E+08,41.17646,1,1,3.499999E+08
Osprey,Metropolis,Jita,5000000,6231829,1231829,19.76673,1,65,1231829
Caracal,Metropolis,Jita,3946599,7100500,3153902,44.41802,15,156,4.730852E+07
Stabber,Metropolis,Jita,6861500,7271353,409853,5.636544,8,34,3278824
Moa,Metropolis,Jita,7370000,7073280,296720,4.026052,1,62,296720
Maller,Metropolis,Jita,6879000,7500839,621839,8.290259,1,24,621839
Augoror,Metropolis,Jita,7342776,5420705,1922071,26.17635,9,34,1.729864E+07
Vexor,Metropolis,Jita,6974997,7539419,564422.5,7.486287,4,343,2257690
Thorax,Metropolis,Jita,6693334,7028761,335427,4.772207,3,61,1006281
Arbitrator,Metropolis,Jita,6689998,6044103,645895,9.654636,1,18,645895
Rupture,Metropolis,Jita,7816667,7437444,379222.5,4.85146,6,36,2275335
Bellicose,Metropolis,Jita,5992498,5769752,222746,3.717081,4,4,890984
Scythe,Metropolis,Jita,5201699,5251558,49859,0.9494136,3,29,149577
Blackbird,Metropolis,Jita,7989995,5461387,2528608,31.64718,1,13,2528608
Celestis,Metropolis,Jita,4999998,6190270,1190272,19.22811,1,28,1190272
Exequror,Metropolis,Jita,5618399,6024221,405821.5,6.736498,5,31,2029108
Raven,Metropolis,Jita,8.320506E+07,1.179248E+08,3.471974E+07,29.44227,3,73,1.041592E+08
Tempest,Metropolis,Jita,1.896599E+08,1.148007E+08,7.485921E+07,39.47023,1,25,7.485921E+07
Scorpion,Metropolis,Jita,1.08E+08,1.05529E+08,2471008,2.28797,2,6,4942016
Megathron,Metropolis,Jita,1.29889E+08,1.181579E+08,1.173108E+07,9.031619,1,28,1.173108E+07
Apocalypse,Metropolis,Jita,1.258E+08,1.106002E+08,1.51998E+07,12.08251,1,4,1.51998E+07
Armageddon,Metropolis,Jita,1.17E+08,1.303994E+08,1.339938E+07,10.27564,1,7,1.339938E+07
Typhoon,Metropolis,Jita,1.5788E+08,1.214109E+08,3.646913E+07,23.09927,1,23,3.646913E+07
Dominix,Metropolis,Jita,1.2745E+08,1.195956E+08,7854440,6.162762,2,55,1.570888E+07
Badger,Metropolis,Jita,1599979,561156.6,1038822,64.92725,1,95,1038822
Tayra,Metropolis,Jita,1533330,1058124,475205.5,30.99173,6,79,2851233
Nereus,Metropolis,Jita,933333.3,755437.3,177896.1,19.06029,3,51,533688.2
Hoarder,Metropolis,Jita,800000,1302605,502604.9,38.5846,1,5,502604.9
Mammoth,Metropolis,Jita,1277600,754675.1,522924.6,40.93024,15,37,7843869
Wreathe,Metropolis,Jita,371241.9,768714.8,397472.8,51.70615,3,26,1192419
Kryos,Metropolis,Jita,1200000,815790.4,384209.6,32.01746,1,19,384209.6
Epithal,Metropolis,Jita,818500,774247.3,44252.75,5.406567,4,70,177011
Miasmos,Metropolis,Jita,597950.6,787366.6,189416.1,24.05691,2,70,378832.1
Iteron Mark V,Metropolis,Jita,1149984,1244772,94788.13,7.614899,9,184,853093.1
Caldari Shuttle,Metropolis,Jita,23776.44,9031.76,14744.68,62.01382,25,334,368617
Bantam Blueprint,Metropolis,Jita,4999999,2550000,2449999,48.99998,1,3,2449999
Condor Blueprint,Metropolis,Jita,5500000,2150000,3350000,60.90909,1,11,3350000
Griffin Blueprint,Metropolis,Jita,5500000,2350000,3150000,57.27273,1,3,3150000
Osprey Blueprint,Metropolis,Jita,1.5E+08,8.05E+07,6.95E+07,46.33333,1,3,6.95E+07
Caracal Blueprint,Metropolis,Jita,1.5E+08,8.25E+07,6.75E+07,45,1,1,6.75E+07
Slasher Blueprint,Metropolis,Jita,2100000,2366667,266666.8,11.26761,1,3,266666.8
Probe Blueprint,Metropolis,Jita,2700000,3400000,700000,20.58824,7,5,4900000
Rifter Blueprint,Metropolis,Jita,2800000,3980000,1180000,29.64824,1,5,1180000
Stabber Blueprint,Metropolis,Jita,8.2E+07,1.2E+08,3.8E+07,31.66667,2,2,7.6E+07
Tempest Blueprint,Metropolis,Jita,1.055E+09,1.114E+09,5.9E+07,5.29623,1,1,5.9E+07
Miner I Blueprint,Metropolis,Jita,92720,100890.5,8170.508,8.098391,1,7,8170.508
Light Missile Launcher I Blueprint,Metropolis,Jita,60000,60000,0,0,1,8,0
Heavy Missile Launcher I Blueprint,Metropolis,Jita,300000,405000,105000,25.92593,1,6,105000
Torpedo Launcher I Blueprint,Metropolis,Jita,999960,999960,0,0,1,6,0
Mjolnir Cruise Missile Blueprint,Metropolis,Jita,5000000,5000000,0,0,1,9,0
Scourge Cruise Missile Blueprint,Metropolis,Jita,3000000,3000000,0,0,1,9,0
Inferno Cruise Missile Blueprint,Metropolis,Jita,4000000,3556250,443750,11.09375,1,8,443750
Nova Cruise Missile Blueprint,Metropolis,Jita,2500000,2157143,342857.3,13.71429,1,7,342857.3
Nova Heavy Missile Blueprint,Metropolis,Jita,700000,700000,0,0,1,5,0
Mjolnir Heavy Missile Blueprint,Metropolis,Jita,900000,900000,0,0,1,3,0
Inferno Heavy Missile Blueprint,Metropolis,Jita,800000,800000,0,0,1,4,0
Scourge Heavy Missile Blueprint,Metropolis,Jita,750000,750000,0,0,1,9,0
Scourge Light Missile Blueprint,Metropolis,Jita,150000,150000,0,0,2,9,0
Inferno Light Missile Blueprint,Metropolis,Jita,160000,160000,0,0,1,12,0
Mjolnir Light Missile Blueprint,Metropolis,Jita,180000,180000,0,0,3,13,0
Nova Light Missile Blueprint,Metropolis,Jita,140000,140000,0,0,1,9,0
125mm Gatling AutoCannon I Blueprint,Metropolis,Jita,20000,140000,120000,85.71429,2,9,240000
150mm Light AutoCannon I Blueprint,Metropolis,Jita,60000,130000,70000,53.84615,2,8,140000
200mm AutoCannon I Blueprint,Metropolis,Jita,90000,171000,81000,47.36842,1,10,81000
250mm Light Artillery Cannon I Blueprint,Metropolis,Jita,120000,251000,131000,52.19123,1,8,131000
280mm Howitzer Artillery I Blueprint,Metropolis,Jita,150000,380000,230000,60.52632,1,9,230000
Dual 180mm AutoCannon I Blueprint,Metropolis,Jita,200000,214999,14999,6.976312,1,6,14999
220mm Vulcan AutoCannon I Blueprint,Metropolis,Jita,600000,671500,71500,10.6478,1,8,71500
425mm AutoCannon I Blueprint,Metropolis,Jita,900000,928999,28999,3.121532,1,7,28999
650mm Artillery Cannon I Blueprint,Metropolis,Jita,1200000,1259998,59998,4.761754,1,6,59998
720mm Howitzer Artillery I Blueprint,Metropolis,Jita,1500000,1599900,99900,6.24414,1,7,99900
Dual 425mm AutoCannon I Blueprint,Metropolis,Jita,2000000,3000000,1000000,33.33333,1,1,1000000
Dual 650mm Repeating Cannon I Blueprint,Metropolis,Jita,6000000,6198999,198999,3.21018,1,2,198999
800mm Repeating Cannon I Blueprint,Metropolis,Jita,9000000,1.38E+07,4800000,34.78261,1,8,4800000
1200mm Artillery Cannon I Blueprint,Metropolis,Jita,1.2E+07,1.2389E+07,388999,3.139874,1,3,388999
1400mm Howitzer Artillery I Blueprint,Metropolis,Jita,1.5E+07,1.6999E+07,1999000,11.75951,1,3,1999000
Gatling Pulse Laser I Blueprint,Metropolis,Jita,20000,20000,0,0,1,12,0
Dual Light Pulse Laser I Blueprint,Metropolis,Jita,60000,120000,60000,50,1,8,60000
Dual Light Beam Laser I Blueprint,Metropolis,Jita,90000,127500,37500,29.41176,1,8,37500
Small Focused Pulse Laser I Blueprint,Metropolis,Jita,1E+07,190000,9810000,98.1,1,9,9810000
