ItemName,Region,BaseRegion,AveragePrice,BaseAveragePrice,Difference,ProfitMargin,Volume,BaseVolume,AverageVolumeProfitMarginPotential,PotentialDailyProfit
Radio S,Metropolis,Jita,517.1,507.26,9.839966,1.902914,15,314,312.0778,3089.749
Microwave S,Metropolis,Jita,800.55,200.06,600.49,75.00968,16,1336,50706.54,802254.6
Infrared S,Metropolis,Jita,1.01,110.34,109.33,99.08465,3,506,25167.5,55320.98
Standard S,Metropolis,Jita,10.15,745.49,735.34,98.63847,3,451,22390.93,331638.3
Ultraviolet S,Metropolis,Jita,1428.65,100.26,1328.39,92.98219,2,214,10042.08,284275.5
Xray S,Metropolis,Jita,540.61,350.11,190.5,35.23797,5,216,3876.177,41148
Gamma S,Metropolis,Jita,1.03,506.25,505.22,99.79655,9,979,49299.5,494610.4
Multifrequency S,Metropolis,Jita,1607.5,2093,485.5,23.19637,14,675,7979.551,327712.5
Radio M,Metropolis,Jita,9220,4000,5220,56.61605,10,973,27798.48,5079060
Microwave M,Metropolis,Jita,6818.27,880.28,5937.99,87.08939,11,263,11931.25,1561691
Infrared M,Metropolis,Jita,5001.39,282.39,4719,94.35377,18,204,10473.27,962676
Standard M,Metropolis,Jita,16698.93,370.97,16327.96,97.77848,10,270,13688.99,4408549
Ultraviolet M,Metropolis,Jita,3500,898,2602,74.34286,10,1789,66834.23,4654978
Xray M,Metropolis,Jita,7309.42,1800.17,5509.25,75.37192,13,284,11155.04,1564627
Gamma M,Metropolis,Jita,5384.64,752.08,4632.56,86.03286,8,196,8775.352,907981.8
Multifrequency M,Metropolis,Jita,6812.5,5000.01,1812.49,26.60536,24,544,7555.923,985994.7
Radio L,Metropolis,Jita,1271,10300,9029,87.66019,3,334,14726.91,3015686
Microwave L,Metropolis,Jita,500,10000.4,9500.4,95.0002,12,389,19000.04,3695656
Infrared L,Metropolis,Jita,500,5002.46,4502.46,90.00492,11,300,13950.76,1350738
Standard L,Metropolis,Jita,500,8005.47,7505.47,93.75427,1,329,15469.46,2469300
Ultraviolet L,Metropolis,Jita,2000.1,7770,5769.9,74.25868,1,648,24059.81,3738895
Xray L,Metropolis,Jita,2500.73,9041.83,6541.1,72.34266,2,269,9766.259,1759556
Gamma L,Metropolis,Jita,500.01,12600.01,12100,96.03167,6,302,14788.88,3654200
Multifrequency L,Metropolis,Jita,15681.04,30060.74,14379.7,47.83548,5,433,10475.97,6226410
Cap Booster 25,Metropolis,Jita,499.9,112.13,387.77,77.56951,177,12196,479845,4729243
Cap Booster 50,Metropolis,Jita,562.82,281.31,281.51,50.01777,33,1512,38613.72,425643.1
Scourge Rocket,Metropolis,Jita,4.14,4.65,0.5100002,10.96775,4365,941254,5185650,480039.8
Scourge Torpedo,Metropolis,Jita,55.16,129.25,74.09,57.32301,300,110849,3185669,8212802
Mjolnir Auto-Targeting Light Missile I,Metropolis,Jita,9.99,17.35,7.360001,42.42075,7400,84691,1953264,623325.8
Small Shield Extender I,Metropolis,Jita,20627.5,14499.99,6127.51,29.70554,80,208,4277.598,1274522
Small Shield Extender II,Metropolis,Jita,499063.6,388997.7,110065.9,22.05448,14,492,5579.783,5.415241E+07
Shield Recharger I,Metropolis,Jita,58871.36,4049.25,54822.11,93.12186,7,52,2700.534,2850750
Shield Recharger II,Metropolis,Jita,538757.1,174899,363858.1,67.53658,7,136,4795.097,4.94847E+07
Small Shield Booster I,Metropolis,Jita,20514.85,13749.94,6764.909,32.97567,11,121,2176.394,818554
Small Shield Booster II,Metropolis,Jita,344119.5,312124.9,31994.53,9.297507,7,166,799.5856,5311092
'Basic' Capacitor Recharger,Metropolis,Jita,1.7999E+07,7671999,1.0327E+07,57.37542,1,5,172.1263,5.163501E+07
5MN Microwarpdrive I,Metropolis,Jita,52334.48,47489.94,4844.539,9.256878,30,913,4359.989,4423064
1MN Afterburner II,Metropolis,Jita,4298877,2750038,1548839,36.02893,15,1037,18951.21,1.606146E+09
1MN Afterburner I,Metropolis,Jita,16843.85,7294,9549.85,56.69636,34,367,11339.27,3504795
5MN Microwarpdrive II,Metropolis,Jita,4235313,4120000,115313,2.722656,7,517,713.3359,5.961682E+07
Cargo Scanner I,Metropolis,Jita,72826.43,5400.01,67426.42,92.5851,7,136,6573.542,9169993
Ship Scanner I,Metropolis,Jita,138483.2,3517.93,134965.3,97.45966,1,28,1364.435,3779028
Survey Scanner I,Metropolis,Jita,16777.71,1400.09,15377.62,91.65506,9,101,5041.028,1553140
Warp Scrambler I,Metropolis,Jita,44395.6,39884.8,4510.801,10.16047,5,1249,6370.613,5633990
Warp Scrambler II,Metropolis,Jita,1752167,1577990,174176.8,9.940649,39,1903,9652.37,3.314584E+08
Gatling Pulse Laser I,Metropolis,Jita,20000,3399.95,16600.05,83.00025,10,20,1245.004,332001
Dual Light Pulse Laser I,Metropolis,Jita,28571.43,15357.56,13213.87,46.24854,14,53,1526.202,700335.1
Dual Light Beam Laser I,Metropolis,Jita,20000,15000,5000,25,5,231,2950,1155000
Small Focused Pulse Laser I,Metropolis,Jita,24999,15566.67,9432.33,37.73083,3,27,565.9625,254672.9
Small Focused Beam Laser I,Metropolis,Jita,36000,18999.97,17000.03,47.22231,7,231,5619.454,3927007
Quad Light Beam Laser I,Metropolis,Jita,89999.99,34221.44,55778.55,61.97617,5,9,433.8332,502007
Focused Medium Pulse Laser I,Metropolis,Jita,100,188872.6,188772.6,99.94705,5,19,1199.365,3586680
Focused Medium Beam Laser I,Metropolis,Jita,733750,213997.4,519752.6,70.83511,4,13,566.6808,6756784
Heavy Pulse Laser I,Metropolis,Jita,444000,114698.3,329301.7,74.16706,3,15,667.5035,4939526
Heavy Beam Laser I,Metropolis,Jita,587999,158232.4,429766.6,73.08968,1,15,584.7175,6446500
Dual Heavy Pulse Laser I,Metropolis,Jita,1,333338.9,333337.9,99.9997,2,9,499.9985,3000041
Dual Heavy Beam Laser I,Metropolis,Jita,1200000,175000,1025000,85.41666,1,1,85.41666,1025000
Mega Pulse Laser I,Metropolis,Jita,25001,445982.6,420981.6,94.39417,1,16,755.1534,6735706
Mega Beam Laser I,Metropolis,Jita,500000,1499999,999999,66.66664,74,335,13600,3.349997E+08
Tachyon Beam Laser I,Metropolis,Jita,24000,1601557,1577557,98.50146,1,32,1576.023,5.048182E+07
Miner II,Metropolis,Jita,900629.3,645997.9,254631.4,28.27261,32,747,10998.04,1.902096E+08
Miner I,Metropolis,Jita,8983.54,6750.11,2233.43,24.86136,15,268,3505.452,598559.3
125mm Gatling AutoCannon I,Metropolis,Jita,4692.99,4002.07,690.9202,14.72239,69,1293,10025.95,893359.8
150mm Light AutoCannon I,Metropolis,Jita,7899.89,7529.71,370.1802,4.68589,15,44,135.8908,16287.93
200mm AutoCannon I,Metropolis,Jita,21067.19,14999.65,6067.539,28.8009,66,446,7373.029,2706123
250mm Light Artillery Cannon I,Metropolis,Jita,16785.71,11200.38,5585.331,33.27432,21,5,432.5661,117292
280mm Howitzer Artillery I,Metropolis,Jita,40154.5,60098.97,19944.47,33.18604,40,1102,18949.23,2.19788E+07
Dual 180mm AutoCannon I,Metropolis,Jita,27500,12000.01,15499.99,56.3636,1,5,169.0908,77499.95
220mm Vulcan AutoCannon I,Metropolis,Jita,69846.15,87251.37,17405.22,19.94836,13,12,239.3803,226267.8
425mm AutoCannon I,Metropolis,Jita,137660,88497.89,49162.08,35.71269,3,4,107.1381,196648.3
650mm Artillery Cannon I,Metropolis,Jita,247420,249999.9,2579.906,1.031963,4,8,6.191777,20639.25
720mm Howitzer Artillery I,Metropolis,Jita,30586.08,322688.3,292102.3,90.52148,11,41,2353.558,1.197619E+07
Dual 425mm AutoCannon I,Metropolis,Jita,247000,228998,18002,7.288259,4,12,58.30607,216024
Dual 650mm Repeating Cannon I,Metropolis,Jita,880000,635000,245000,27.84091,3,400,5596.023,9.8E+07
800mm Repeating Cannon I,Metropolis,Jita,1250000,1499000,249000,16.61107,8,7,116.2775,1992000
1200mm Artillery Cannon I,Metropolis,Jita,1200000,400000,800000,66.66666,4,3,200,3200000
1400mm Howitzer Artillery I,Metropolis,Jita,2250000,999998.2,1250002,55.55563,2,1,55.55563,2500004
Light Missile Launcher I,Metropolis,Jita,14279.02,7994.92,6284.1,44.00932,31,494,11530.44,3104345
Heavy Missile Launcher I,Metropolis,Jita,41791,37997.77,3793.23,9.076669,13,382,1788.104,1449014
Torpedo Launcher I,Metropolis,Jita,74994.97,40343.78,34651.19,46.20468,3,30,739.2749,1039536
'Basic' Capacitor Power Relay,Metropolis,Jita,4199000,2297950,1901050,45.27388,1,2,45.27388,3802100
'Basic' Shield Flux Coil,Metropolis,Jita,1.4999E+07,1733336,1.326566E+07,88.44366,1,3,176.8873,3.979699E+07
'Basic' Capacitor Flux Coil,Metropolis,Jita,1.1E+07,1944983,9055018,82.31834,2,2,164.6367,1.811004E+07
'Basic' Gyrostabilizer,Metropolis,Jita,1.479E+07,3918498,1.08715E+07,73.50576,1,4,147.0115,4.348601E+07
Gyrostabilizer II,Metropolis,Jita,827316.1,927987.2,100671.1,10.84832,43,2231,12334.54,2.245971E+08
Gyrostabilizer I,Metropolis,Jita,39640.72,36499.96,3140.758,7.923059,36,291,1291.459,913960.5
'Basic' Damage Control,Metropolis,Jita,1.3833E+07,4738093,9094908,65.74791,1,5,197.2437,4.547454E+07
'Micro' Cap Battery,Metropolis,Jita,2E+07,4999997,1.5E+07,75.00002,1,8,300.0001,1.2E+08
Small Armor Repairer I,Metropolis,Jita,20273.44,10975,9298.439,45.86513,8,139,3348.155,1292483
Small Hull Repairer I,Metropolis,Jita,34997.51,6270.68,28726.83,82.0825,2,24,1067.073,689444
Stasis Webifier I,Metropolis,Jita,34261.59,43999.89,9738.301,22.13256,12,363,4138.788,3535003
Stasis Webifier II,Metropolis,Jita,1307672,1011997,295674.8,22.61078,22,1568,17975.57,4.636181E+08
Small Remote Capacitor Transmitter I,Metropolis,Jita,45000,9020.23,35979.77,79.95504,1,14,559.6853,503716.8
Small Energy Nosferatu I,Metropolis,Jita,34998.98,17491.06,17507.92,50.02409,1,45,1150.554,787856.4
Small Energy Neutralizer I,Metropolis,Jita,49999.99,13873.84,36126.15,72.25231,1,139,5057.662,5021535
75mm Gatling Rail I,Metropolis,Jita,4999.95,600.01,4399.94,87.99969,1,132,5807.979,580792.1
Light Electron Blaster I,Metropolis,Jita,1000.38,16800,15799.62,94.04536,3,1180,55580.8,1.864355E+07
Light Ion Blaster I,Metropolis,Jita,19772.73,22037.99,2265.26,10.27889,66,67,678.4065,151772.4
Light Neutron Blaster I,Metropolis,Jita,24781.42,36900,12118.58,32.84168,20,5448,89789.15,6.602202E+07
150mm Railgun I,Metropolis,Jita,33999.99,32899.91,1100.078,3.235525,10,1079,1760.126,1186984
Heavy Electron Blaster I,Metropolis,Jita,411098.8,46796.05,364302.7,88.61683,5,37,1860.953,1.34792E+07
Dual 150mm Railgun I,Metropolis,Jita,59999.98,89880.01,29880.03,33.24435,10,4,232.7105,298800.3
Heavy Neutron Blaster I,Metropolis,Jita,264883.3,120017.5,144865.8,54.69041,12,39,1367.26,5649764
Heavy Ion Blaster I,Metropolis,Jita,30000,122666.4,92666.4,75.54343,6,15,755.4343,1389996
250mm Railgun I,Metropolis,Jita,305000,436303.8,131303.8,30.09458,8,91,1474.635,1.194865E+07
Electron Blaster Cannon I,Metropolis,Jita,750000,400000,350000,46.66667,7,1,186.6667,2450000
Dual 250mm Railgun I,Metropolis,Jita,299995,80012.17,219982.8,73.32883,4,2,219.9865,879931.3
Neutron Blaster Cannon I,Metropolis,Jita,1926310,700224.3,1226086,63.64945,23,7,954.7417,2.819997E+07
425mm Railgun I,Metropolis,Jita,4500000,929242.6,3570758,79.35017,7,35,1666.354,1.249765E+08
Ion Blaster Cannon I,Metropolis,Jita,1888888,175000,1713888,90.73529,7,1,362.9412,1.199722E+07
Medium Capacitor Booster I,Metropolis,Jita,199999.9,22231.32,177768.6,88.88434,1,47,2133.224,8355123
Adaptive Invulnerability Field I,Metropolis,Jita,78500.36,59999,18501.36,23.5685,43,1518,18383.43,2.808506E+07
Burst Jammer I,Metropolis,Jita,65000,31100.83,33899.17,52.15257,1,75,1981.798,2542438
Passive Targeter I,Metropolis,Jita,1,35847.02,35846.02,99.99721,1,9,499.986,322614.2
Bantam,Metropolis,Jita,10000,138698.1,128698.1,92.7901,1,134,6216.937,1.724555E+07
Condor,Metropolis,Jita,232348.2,311000,78651.84,25.28998,11,125,1719.719,9831480
Griffin,Metropolis,Jita,188500.2,219763.8,31263.61,14.22601,2,78,569.0402,2438562
Slasher,Metropolis,Jita,214273.7,269999.8,55726.16,20.63933,21,347,3797.637,1.933698E+07
Probe,Metropolis,Jita,303039.3,326372.1,23332.81,7.149144,23,70,328.8606,1633297
Rifter,Metropolis,Jita,300000,430000,130000,30.23256,125,310,6560.465,4.03E+07
Reaper,Metropolis,Jita,11476.99,14959.39,3482.399,23.27902,6,63,791.4867,219391.2
Executioner,Metropolis,Jita,273641.8,336999,63357.13,18.80039,6,102,1015.221,6462427
Inquisitor,Metropolis,Jita,400000,311000,89000,22.25,2,258,2892.5,2.2962E+07
Tormentor,Metropolis,Jita,500000,357361.6,142638.4,28.52768,1,22,313.8044,3138044
Navitas,Metropolis,Jita,280000,181585.7,98414.3,35.14796,1,12,210.8878,1180972
Tristan,Metropolis,Jita,448792.9,379000,69792.94,15.55126,5,140,1119.691,9771011
Incursus,Metropolis,Jita,347000,378997.7,31997.66,8.442705,2,261,1105.994,8351389
Impairor,Metropolis,Jita,38041.88,14017.63,24024.25,63.15211,2,28,947.2817,672679
Punisher,Metropolis,Jita,455216.2,342999.9,112216.3,24.65121,3,242,3007.447,2.715634E+07
Breacher,Metropolis,Jita,266666.8,552450.9,285784.1,51.73023,6,25,775.9535,7144603
Burst,Metropolis,Jita,107500,303300,195800,64.55654,4,3,193.6696,783200
Ibis,Metropolis,Jita,11895.59,25428.89,13533.3,53.22018,3,263,7078.284,3559258
Kestrel,Metropolis,Jita,26000.36,318003,292002.6,91.82386,1,220,10100.63,6.424058E+07
Merlin,Metropolis,Jita,261666.7,317999.1,56332.39,17.71464,3,287,2568.623,1.61674E+07
Heron,Metropolis,Jita,374923.2,300000,74923.16,19.9836,13,212,2238.164,1.588371E+07
Velator,Metropolis,Jita,6554.49,19490.49,12936,66.37083,2,76,2588.462,983136
Imicus,Metropolis,Jita,120000,305868.1,185868.1,60.7674,1,73,2248.394,1.356837E+07
Atron,Metropolis,Jita,252737.5,332000,79262.48,23.87424,4,136,1671.197,1.07797E+07
Maulus,Metropolis,Jita,339333.3,278663.9,60669.44,17.87901,3,161,1466.079,9767779
Immolator,Metropolis,Jita,5.8E+08,7.774875E+08,1.974875E+08,25.40073,1,4,50.80146,7.8995E+08
Echo,Metropolis,Jita,5E+08,5.498913E+08,4.989133E+07,9.072944,1,1,9.072944,4.989133E+07
Osprey,Metropolis,Jita,5400000,6450000,1050000,16.27907,2,160,1318.605,1.68E+08
Caracal,Metropolis,Jita,7170995,7144989,26006,0.3626554,7,212,39.52944,5513272
Stabber,Metropolis,Jita,6580180,6929240,349059.5,5.037487,5,34,95.71224,1.186802E+07
Moa,Metropolis,Jita,8000000,7010906,989094,12.36368,1,48,296.7282,4.747651E+07
Maller,Metropolis,Jita,5000000,7519791,2519791,33.50879,1,86,1440.878,2.16702E+08
Augoror,Metropolis,Jita,6899985,5671457,1228529,17.8048,1,28,249.2672,3.43988E+07
Vexor,Metropolis,Jita,7043067,7539414,496347,6.583363,15,152,546.4191,7.544474E+07
Thorax,Metropolis,Jita,6350000,6943529,593529,8.547944,2,57,247.8904,3.383115E+07
Arbitrator,Metropolis,Jita,6697998,5810000,887998.5,13.25767,1,17,119.319,1.509597E+07
Rupture,Metropolis,Jita,8871242,7275004,1596239,17.9934,4,107,989.6373,1.707975E+08
Bellicose,Metropolis,Jita,3000003,5518135,2518132,45.63375,1,9,228.1688,2.266319E+07
Scythe,Metropolis,Jita,7499999,5373214,2126785,28.35714,1,28,396.9999,5.954998E+07
Blackbird,Metropolis,Jita,4500000,5355717,855716.5,15.97763,1,35,287.5973,2.995008E+07
Celestis,Metropolis,Jita,5000000,5895998,895997.5,15.19671,1,5,45.59012,4479988
Exequror,Metropolis,Jita,8500000,5757703,2742298,32.26233,1,55,903.3451,1.508264E+08
Raven,Metropolis,Jita,1.110001E+08,1.157752E+08,4775120,4.124475,1,67,140.2322,3.199331E+08
Tempest,Metropolis,Jita,1.8967E+08,1.155268E+08,7.414318E+07,39.09062,1,19,390.9062,1.40872E+09
Scorpion,Metropolis,Jita,9.966666E+07,1.148126E+08,1.514591E+07,13.19186,6,8,92.34301,1.211673E+08
Megathron,Metropolis,Jita,1.2589E+08,1.193197E+08,6570312,5.21909,1,50,130.4772,3.285156E+08
Apocalypse,Metropolis,Jita,1.258085E+08,1.123507E+08,1.345771E+07,10.69699,2,31,171.1518,4.171891E+08
Armageddon,Metropolis,Jita,1.43E+08,1.279503E+08,1.504974E+07,10.5243,1,36,189.4373,5.417908E+08
Typhoon,Metropolis,Jita,1.193028E+08,1.17265E+08,2037776,1.708071,6,34,34.16141,6.928438E+07
Dominix,Metropolis,Jita,1.32398E+08,1.221922E+08,1.020578E+07,7.708406,5,39,169.5849,3.980253E+08
Badger,Metropolis,Jita,1615556,519210.1,1096346,67.86184,3,69,2443.026,7.564789E+07
Tayra,Metropolis,Jita,1748500,1000000,748500,42.80812,6,105,2354.447,7.85925E+07
Nereus,Metropolis,Jita,849333.3,780064.4,69268.94,8.155684,3,46,195.7364,3186371
Hoarder,Metropolis,Jita,985210.1,859734.9,125475.3,12.73589,2,11,76.41533,1380228
Mammoth,Metropolis,Jita,1331995,1032722,299272.9,22.46802,12,18,337.0203,5386913
Wreathe,Metropolis,Jita,316061.8,759230.3,443168.5,58.37076,12,13,700.4491,5761191
Kryos,Metropolis,Jita,966778,831842.9,134935.1,13.9572,4,19,153.5292,2563768
Epithal,Metropolis,Jita,799798,787213.1,12584.94,1.573514,3,46,37.76435,578907.1
Miasmos,Metropolis,Jita,1138797,730236.4,408560.6,35.87651,5,35,717.5302,1.429962E+07
Iteron Mark V,Metropolis,Jita,1135686,1319732,184045.8,13.94569,7,73,557.8277,1.343534E+07
Caldari Shuttle,Metropolis,Jita,42333,19099.98,23233.02,54.88158,15,404,11470.25,9386140
Auto Targeting System I,Metropolis,Jita,29974.99,14994.98,14980.01,49.97503,4,243,6146.929,3640142
Small Armor Repairer II,Metropolis,Jita,620076.4,494998.6,125077.8,20.17135,13,484,5002.494,6.053763E+07
Small Cap Battery I,Metropolis,Jita,88944,18377.44,70566.56,79.3382,2,39,1586.764,2752096
Small Remote Capacitor Transmitter II,Metropolis,Jita,1309000,655588.6,653411.4,49.91684,1,10,249.5842,6534114
'Basic' Overdrive Injector System,Metropolis,Jita,2898000,17005.12,2880995,99.41322,18,1,894.7189,5.185791E+07
Basic EM Plating,Metropolis,Jita,450000,1,449999,99.99978,26,1,1299.997,1.169997E+07
Cap Recharger I,Metropolis,Jita,225027.9,2646.06,222381.8,98.82412,7,149,7708.281,3.313489E+07
EM Plating I,Metropolis,Jita,10000,19999.96,9999.961,49.9999,1,1,49.9999,9999.961
EM Plating II,Metropolis,Jita,299999,60002.01,239997,79.99926,10,163,6879.937,3.911951E+07
Wasp I,Metropolis,Jita,15276.77,59489.96,44213.19,74.32043,4,6024,224001.8,2.663403E+08
Civilian Mining Drone,Metropolis,Jita,27107.44,1930.97,25176.47,92.8766,11,79,4179.447,1988941
