ItemName,Region,BaseRegion,AveragePrice,BaseAveragePrice,Difference,ProfitMargin,Volume,BaseVolume,PotentialDailyProfit
Women's 'Aeriform' Headwear (orange),Metropolis,Jita,"6,000.00","598,400,000.00","598,394,000.00",100.00,1.00,1.00,"598,394,000.00"
Procurer Rosada Dawn SKIN (Permanent),Metropolis,Jita,"10,000,000.00","600,000,000.00","590,000,000.00",98.33,1.00,1.00,"590,000,000.00"
True Sansha Focused Medium Pulse Laser,Metropolis,Jita,"160,101,100.00","12,911,940.00","147,189,200.00",91.94,4.00,9.00,"588,756,600.00"
Men's 'Commando' Pants (brown camo),Metropolis,Jita,"4,500,000.00","149,500,000.00","145,000,000.00",96.99,4.00,1.00,"579,999,900.00"
Ragnarok Justice SKIN (Permanent),Metropolis,Jita,"10,000,000.00","90,000,000.00","80,000,000.00",88.89,7.00,1.00,"560,000,000.00"
Inherent Implants 'Squire' Power Grid Management EG-606,Metropolis,Jita,"1,200,000,000.00","649,999,600.00","550,000,400.00",45.83,1.00,1.00,"550,000,400.00"
Capital Construction Parts Blueprint,Metropolis,Jita,"1,600,000,000.00","1,050,000,000.00","550,000,000.00",34.38,1.00,2.00,"550,000,000.00"
Vexor InterBus SKIN (Permanent),Metropolis,Jita,"600,000,000.00","49,999,990.00","550,000,000.00",91.67,1.00,1.00,"550,000,000.00"
Dual Giga Pulse Laser II,Metropolis,Jita,"425,000,000.00","244,514,900.00","180,485,100.00",42.47,3.00,55.00,"541,455,400.00"
Strong Drop Booster,Metropolis,Jita,"29,999,990.00","19,986,980.00","10,013,010.00",33.38,54.00,162.00,"540,702,500.00"
Noctis Rosada Dawn SKIN (Permanent),Metropolis,Jita,"1,190,000,000.00","650,000,000.00","540,000,000.00",45.38,1.00,1.00,"540,000,000.00"
Women's Triglavian Survival Suit (Veles),Metropolis,Jita,"10,000,000.00","544,500,000.00","534,500,000.00",98.16,1.00,2.00,"534,500,000.00"
ORE Mining Director Mindlink,Metropolis,Jita,"100,000,000.00","629,678,400.00","529,678,400.00",84.12,1.00,2.00,"529,678,400.00"
Synthetic Hull Conversion Inertia Stabilizers,Metropolis,Jita,"100,000,000.00","275,000,000.00","175,000,000.00",63.64,3.00,1.00,"525,000,000.00"
Low-grade Harvest Omega,Metropolis,Jita,"200,000.00","525,000,000.00","524,800,000.00",99.96,1.00,1.00,"524,800,000.00"
RSS Core Scanner Probe,Metropolis,Jita,"19,346,230.00","45,441,180.00","26,094,940.00",57.43,20.00,56.00,"521,898,900.00"
Standup Market Hub I,Metropolis,Jita,"1,340,000,000.00","824,250,000.00","515,750,000.00",38.49,1.00,4.00,"515,750,000.00"
Eifyr and Co. 'Rogue' Evasive Maneuvering EM-706,Metropolis,Jita,"1,100,000,000.00","600,000,000.00","500,000,000.00",45.45,1.00,2.00,"500,000,000.00"
Moros,Metropolis,Jita,"1,000,000,000.00","1,500,000,000.00","500,000,000.00",33.33,1.00,1.00,"500,000,000.00"
Nestor Sanctuary SKIN (Permanent),Metropolis,Jita,"200,000,000.00","700,000,000.00","500,000,000.00",71.43,1.00,1.00,"500,000,000.00"
Capital Ancillary Remote Armor Repairer,Metropolis,Jita,"7,000,000.00","31,300,020.00","24,300,020.00",77.64,20.00,1.00,"486,000,300.00"
Large Drone Mining Augmentor II,Metropolis,Jita,"187,285,900.00","118,000,000.00","69,285,920.00",36.99,7.00,111.00,"485,001,400.00"
Unstable 50MN Microwarpdrive Mutaplasmid,Metropolis,Jita,"518,000,000.00","40,732,920.00","477,267,100.00",92.14,1.00,12.00,"477,267,100.00"
Low-grade Nomad Epsilon,Metropolis,Jita,"5,199,999.00","476,599,800.00","471,399,800.00",98.91,1.00,5.00,"471,399,800.00"
Malleus II,Metropolis,Jita,"455,714.60","22,253,860.00","21,798,150.00",97.95,21.00,8.00,"457,761,100.00"
Capital Sensor Cluster Blueprint,Metropolis,Jita,"1,659,000,000.00","1,202,763,000.00","456,236,700.00",27.50,1.00,1.00,"456,236,700.00"
Avatar Purity of the Throne SKIN (Permanent),Metropolis,Jita,"13,000,000.00","240,000,000.00","227,000,000.00",94.58,2.00,2.00,"454,000,000.00"
Eifyr and Co. 'Gunslinger' Surgical Strike SS-906,Metropolis,Jita,"1,100,000,000.00","648,000,000.00","452,000,000.00",41.09,1.00,6.00,"452,000,000.00"
Capital Computer System Blueprint,Metropolis,Jita,"1,679,000,000.00","1,228,399,000.00","450,601,100.00",26.84,1.00,2.00,"450,601,100.00"
Shadow Control Tower,Metropolis,Jita,"450,000,000.00","898,000,000.00","448,000,000.00",49.89,1.00,1.00,"448,000,000.00"
Federation Navy Drone Navigation Computer,Metropolis,Jita,"3,000,000.00","225,000,000.00","222,000,000.00",98.67,2.00,12.00,"444,000,000.00"
Ninazu,Metropolis,Jita,"708,000,100.00","930,000,000.00","221,999,900.00",23.87,2.00,1.00,"443,999,900.00"
Whelan Machorin's Ballistic Smartlink,Metropolis,Jita,"595,000,000.00","158,105,000.00","436,895,000.00",73.43,1.00,1.00,"436,895,000.00"
Entrapment Array 1,Metropolis,Jita,"550,000,000.00","120,000,000.00","430,000,000.00",78.18,1.00,2.00,"430,000,000.00"
Centus A-Type Large Armor Repairer,Metropolis,Jita,"600,000,000.00","171,000,400.00","428,999,600.00",71.50,1.00,1.00,"428,999,600.00"
Raven Ghostbird SKIN (Permanent),Metropolis,Jita,"1,100,000.00","429,530,900.00","428,430,900.00",99.74,1.00,1.00,"428,430,900.00"
Capital Plasma Thruster,Metropolis,Jita,"112,160.10","820,000.00","707,839.90",86.32,602.00,90.00,"426,119,600.00"
Capital Nanomechanical Microprocessor,Metropolis,Jita,"1,600.08","850,000.00","848,399.90",99.81,502.00,150.00,"425,896,800.00"
Megathron Operation Permafrost SKIN (Permanent),Metropolis,Jita,"5,001,004.00","430,000,100.00","424,999,100.00",98.84,1.00,2.00,"424,999,100.00"
Standup M-Set TE Research Accelerator I,Metropolis,Jita,"780,000,000.00","369,630,000.00","410,370,000.00",52.61,1.00,2.00,"410,370,000.00"
Gila Hostile Takeover SKIN (Permanent),Metropolis,Jita,"390,000,000.00","799,899,900.00","409,899,900.00",51.24,1.00,1.00,"409,899,900.00"
"Ishtar ""Blaze"" Squadron SKIN (Permanent)",Metropolis,Jita,"387,000,000.00","183,754,300.00","203,245,700.00",52.52,2.00,1.00,"406,491,500.00"
Khanid Navy Rocket Launcher,Metropolis,Jita,"45,000,000.00","450,000,000.00","405,000,000.00",90.00,1.00,1.00,"405,000,000.00"
Standup M-Set Blueprint Copy Accelerator I,Metropolis,Jita,"900,000,000.00","498,560,000.00","401,440,000.00",44.60,1.00,1.00,"401,440,000.00"
High-grade Asklepian Epsilon,Metropolis,Jita,"1,000,000,000.00","599,423,300.00","400,576,700.00",40.06,1.00,9.00,"400,576,700.00"
X-Large Ship Maintenance Array Blueprint,Metropolis,Jita,"500,000,000.00","100,000,000.00","400,000,000.00",80.00,1.00,1.00,"400,000,000.00"
Standup M-Set ME Research Accelerator I,Metropolis,Jita,"700,000,000.00","300,000,000.00","400,000,000.00",57.14,1.00,2.00,"400,000,000.00"
Astarte Kopis Edge SKIN (Permanent),Metropolis,Jita,"1,020.00","397,840,000.00","397,839,000.00",100.00,1.00,1.00,"397,839,000.00"
Corpum A-Type Medium Armor Repairer,Metropolis,Jita,"384,999,900.00","285,840,800.00","99,159,140.00",25.76,4.00,36.00,"396,636,500.00"
High-grade Ascendancy Gamma,Metropolis,Jita,"676,700,000.00","280,716,700.00","395,983,300.00",58.52,1.00,6.00,"395,983,300.00"
True Sansha Capacitor Power Relay,Metropolis,Jita,"150,000,000.00","18,803,930.00","131,196,100.00",87.46,3.00,46.00,"393,588,200.00"
Entrapment Array 2,Metropolis,Jita,"475,000,000.00","279,999,900.00","195,000,100.00",41.05,2.00,2.00,"390,000,300.00"
Corelum A-Type 50MN Microwarpdrive,Metropolis,Jita,"900,000,000.00","510,071,400.00","389,928,600.00",43.33,1.00,7.00,"389,928,600.00"
'Aoede' Mining Laser Upgrade,Metropolis,Jita,"566,666,700.00","437,000,000.00","129,666,700.00",22.88,3.00,3.00,"389,000,100.00"
Capital Drone Mining Augmentor II,Metropolis,Jita,"759,999,900.00","567,298,000.00","192,701,800.00",25.36,2.00,52.00,"385,403,600.00"
Standup Hyasyoda Research Lab,Metropolis,Jita,"712,900,000.00","331,247,600.00","381,652,300.00",53.54,1.00,8.00,"381,652,300.00"
Eifyr and Co. 'Gunslinger' Motion Prediction MR-706,Metropolis,Jita,"1,200,000,000.00","819,000,000.00","381,000,000.00",31.75,1.00,2.00,"381,000,000.00"
Women's “Mirelle” Upwell Executive Spectacles ,Metropolis,Jita,"1,000,000.00","380,000,000.00","379,000,000.00",99.74,1.00,1.00,"379,000,000.00"
Capital Ladar Sensor Cluster,Metropolis,Jita,"2,200.06","596,333.30","594,133.30",99.63,632.00,36.00,"375,492,200.00"
Machariel Angel's Hex SKIN (Permanent),Metropolis,Jita,"2,000,000,000.00","1,625,293,000.00","374,706,600.00",18.74,1.00,2.00,"374,706,600.00"
High-grade Snake Omega,Metropolis,Jita,"1,600,000,000.00","1,225,861,000.00","374,138,900.00",23.38,1.00,12.00,"374,138,900.00"
Orca Nocx Rush SKIN (Permanent),Metropolis,Jita,"15,000,000.00","388,958,000.00","373,958,000.00",96.14,1.00,2.00,"373,958,000.00"
Panther Luminaire Rising SKIN (Permanent),Metropolis,Jita,"1,500,000,000.00","1,873,556,000.00","373,555,600.00",19.94,1.00,1.00,"373,555,600.00"
Capital Shield Emitter Blueprint,Metropolis,Jita,"1,679,000,000.00","1,306,728,000.00","372,272,100.00",22.17,1.00,1.00,"372,272,100.00"
Men's Triglavian Survival Suit (Veles),Metropolis,Jita,"456,000,000.00","93,008,620.00","362,991,400.00",79.60,1.00,1.00,"362,991,400.00"
'Carpo' Mining Laser Upgrade,Metropolis,Jita,"200,000,000.00","79,250,000.00","120,750,000.00",60.38,3.00,8.00,"362,250,000.00"
Capital Capacitor Battery Blueprint,Metropolis,Jita,"1,659,000,000.00","1,300,000,000.00","358,999,900.00",21.64,1.00,1.00,"358,999,900.00"
Vargur,Metropolis,Jita,"1,695,000,000.00","1,336,413,000.00","358,587,400.00",21.16,1.00,15.00,"358,587,400.00"
Unstable 500MN Microwarpdrive Mutaplasmid,Metropolis,Jita,"400,000,000.00","42,972,770.00","357,027,200.00",89.26,1.00,14.00,"357,027,200.00"
Immolator,Metropolis,Jita,"580,000,000.00","935,000,000.00","355,000,000.00",37.97,1.00,1.00,"355,000,000.00"
Low-grade Harvest Epsilon,Metropolis,Jita,"560,000,000.00","208,013,000.00","351,987,000.00",62.85,1.00,1.00,"351,987,000.00"
Typhoon Blueprint,Metropolis,Jita,"975,000,000.00","1,326,000,000.00","351,000,000.00",26.47,1.00,1.00,"351,000,000.00"
Maelstrom Blueprint,Metropolis,Jita,"1,450,000,000.00","1,800,000,000.00","350,000,000.00",19.44,1.00,1.00,"350,000,000.00"
Lif Blueprint,Metropolis,Jita,"1,000,000,000.00","1,350,000,000.00","350,000,000.00",25.93,1.00,1.00,"350,000,000.00"
Ore Prospecting Array 5,Metropolis,Jita,"320,000.00","350,000,000.00","349,680,000.00",99.91,1.00,1.00,"349,680,000.00"
Capital Drone Bay Blueprint,Metropolis,Jita,"1,599,000,000.00","1,250,000,000.00","348,999,900.00",21.83,1.00,1.00,"348,999,900.00"
Republic Fleet 800mm Repeating Cannon,Metropolis,Jita,"127,990,000.00","78,500,000.00","49,490,000.00",38.67,7.00,7.00,"346,430,000.00"
Michi's Excavation Augmentor,Metropolis,Jita,"1,800,000,000.00","1,455,010,000.00","344,990,000.00",19.17,1.00,1.00,"344,990,000.00"
Dread Guristas Inferno Cruise Missile,Metropolis,Jita,"245,000.00","74,999.99","170,000.00",69.39,"2,000.00",100.00,"340,000,000.00"
Limited Precise Ion Siege Blaster,Metropolis,Jita,"229,000,000.00","116,000,000.00","113,000,000.00",49.34,3.00,3.00,"339,000,000.00"
Quad 800mm Repeating Cannon II,Metropolis,Jita,"345,000,000.00","232,222,400.00","112,777,600.00",32.69,3.00,32.00,"338,332,900.00"
Scout Scoped Quad 800mm Repeating Cannon,Metropolis,Jita,"179,895,000.00","67,687,000.00","112,208,000.00",62.37,3.00,5.00,"336,624,000.00"
Fighter Support Unit II,Metropolis,Jita,"33,000,010.00","116,740,400.00","83,740,430.00",71.73,4.00,126.00,"334,961,700.00"
CONCORD Capital Remote Capacitor Transmitter,Metropolis,Jita,"170,000.10","167,444,800.00","167,274,800.00",99.90,2.00,3.00,"334,549,500.00"
Women's Triglavian Survival Suit (Perun),Metropolis,Jita,"100,000,000.00","433,333,300.00","333,333,300.00",76.92,1.00,1.00,"333,333,300.00"
Small Skill Injector,Metropolis,Jita,"204,573,000.00","188,705,000.00","15,867,980.00",7.76,21.00,847.00,"333,227,600.00"
Skill Extractor,Metropolis,Jita,"516,099,600.00","497,598,000.00","18,501,570.00",3.58,18.00,"4,237.00","333,028,200.00"
Corelum B-Type Medium Armor Repairer,Metropolis,Jita,"444,444,400.00","111,692,300.00","332,752,100.00",74.87,1.00,13.00,"332,752,100.00"
Kronos,Metropolis,Jita,"1,697,500,000.00","1,367,900,000.00","329,599,900.00",19.42,1.00,7.00,"329,599,900.00"
'Augmented' Mining Drone,Metropolis,Jita,"53,849,830.00","42,879,890.00","10,969,940.00",20.37,30.00,510.00,"329,098,200.00"
Quad 800mm Repeating Cannon I,Metropolis,Jita,"148,000,000.00","38,507,600.00","109,492,400.00",73.98,3.00,6.00,"328,477,200.00"
Mackinaw Nocx Rush SKIN (Permanent),Metropolis,Jita,"325,000,000.00","650,000,000.00","325,000,000.00",50.00,1.00,1.00,"325,000,000.00"
Providence Glacial Drift SKIN (Permanent),Metropolis,Jita,"350,000,000.00","25,070,040.00","324,930,000.00",92.84,1.00,2.00,"324,930,000.00"
50000MN Microwarpdrive II,Metropolis,Jita,"595,000,000.00","270,932,000.00","324,068,000.00",54.47,1.00,15.00,"324,068,000.00"
Caldari Control Tower,Metropolis,Jita,"550,000,000.00","228,900,000.00","321,100,000.00",58.38,1.00,1.00,"321,100,000.00"
'Smokescreen' Covert Ops Cloaking Device II,Metropolis,Jita,"500,000,000.00","179,000,100.00","320,999,900.00",64.20,1.00,5.00,"320,999,900.00"
Dread Guristas Nova Heavy Missile,Metropolis,Jita,"275,000.00","76,026.70","198,973.30",72.35,"1,599.00","1,000.00","318,158,300.00"
Shadow Serpentis Large Plasma Smartbomb,Metropolis,Jita,"159,999,900.00","80,771,410.00","79,228,500.00",49.52,4.00,10.00,"316,914,000.00"
Astero Sanctuary SKIN (Permanent),Metropolis,Jita,"150,000,000.00","465,333,300.00","315,333,300.00",67.77,1.00,3.00,"315,333,300.00"
Dramiel Sariel's Flames SKIN (Permanent),Metropolis,Jita,"188,000,000.00","500,000,000.00","312,000,000.00",62.40,1.00,1.00,"312,000,000.00"
Rattlesnake,Metropolis,Jita,"455,081,700.00","403,147,700.00","51,933,980.00",11.41,6.00,100.00,"311,603,900.00"
Pirate Detection Array 3,Metropolis,Jita,"445,000,000.00","289,899,000.00","155,101,000.00",34.85,2.00,2.00,"310,202,000.00"
Marshal SARO 'Black Troop' SKIN (Permanent),Metropolis,Jita,"1,510,000,000.00","1,200,000,000.00","310,000,000.00",20.53,1.00,2.00,"310,000,000.00"
Caldari Navy Command Mindlink,Metropolis,Jita,"598,998,000.00","289,999,900.00","308,998,100.00",51.59,1.00,1.00,"308,998,100.00"
Women's 'Mystrioso' Boots,Metropolis,Jita,"400,000,000.00","94,000,000.00","306,000,000.00",76.50,1.00,1.00,"306,000,000.00"
Dark Blood Heavy Pulse Laser,Metropolis,Jita,"117,074,000.00","15,207,010.00","101,867,000.00",87.01,3.00,1.00,"305,601,100.00"
Standup M-Set Composite Reactor Material Efficiency I,Metropolis,Jita,"959,999,900.00","656,154,400.00","303,845,400.00",31.65,1.00,1.00,"303,845,400.00"
Sleeve - 'Prototype' (right),Metropolis,Jita,"100,000,000.00","400,100,000.00","300,100,000.00",75.01,1.00,1.00,"300,100,000.00"
Fenrir Blueprint,Metropolis,Jita,"1,850,000,000.00","2,150,000,000.00","300,000,100.00",13.95,1.00,1.00,"300,000,100.00"
Women's 'Eternity' Suit (Black/Gold),Metropolis,Jita,"1,100,000.00","301,016,300.00","299,916,300.00",99.63,1.00,1.00,"299,916,300.00"
